,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
0,0.036587999999999996,27,1.5325142739955149,-9.7,-1.32,-0.49,0.0,0.0
1,0.056431999999999996,29,3.3143475979444283,-9.7,-1.33,-0.39,0.20722103495538186,4.227009444185512
2,0.076356,30,3.7392111467527482,-9.71,-1.3,-0.31,0.2666218336844569,4.249662141827535
3,0.093188,32,3.7973806762030065,-9.72,-1.25,-0.26,0.3191411079717209,4.265475244036881
4,0.113192,34,3.6508766070630214,-9.72,-1.22,-0.25,0.38190990434510685,4.2923578588114575
5,0.131872,37,2.958614540625392,-9.73,-1.14,-0.23,0.4307723547214395,4.306475651558217
6,0.14887599999999998,39,2.6609396836456103,-9.74,-1.03,-0.23,0.46612930260111046,4.306638247000318
7,0.168596,41,2.3792856070678026,-9.76,-0.91,-0.23,0.5042333809621945,4.308720013794103
8,0.185284,43,2.19661102610362,-9.77,-0.78,-0.25,0.5311859789661625,4.299286440728634
9,0.194264,43,2.19661102610362,-9.77,-0.78,-0.25,0.5399232012009558,4.271397153170395
10,0.214164,45,1.6410667262485092,-9.78,-0.63,-0.29,0.5623928507254063,4.261967192233648
11,0.232092,47,3.272583077631491,-9.78,-0.45,-0.36,0.5531342349883334,4.258398294502978
12,0.249056,47,2.719080727010509,-9.79,-0.26,-0.42,0.5291219861404253,4.2616047323213015
13,0.269068,47,1.099363452184945,-9.79,-0.06,-0.44,0.5155773092386176,4.252197230205681
14,0.285924,47,1.07266024443903,-9.79,0.17,-0.44,0.5105655945939972,4.2228881913481775
15,0.29487599999999997,47,1.07266024443903,-9.79,0.17,-0.44,0.5031962364943915,4.184875791283746
16,0.314872,46,1.2996538000559996,-9.78,0.46,-0.42,0.5057554835327543,4.1609793325279565
17,0.332512,45,0.9884331034521254,-9.76,0.78,-0.39,0.5100041466771039,4.133545404444248
18,0.349356,43,0.8730406634286859,-9.73,1.1,-0.36,0.5072048302686567,4.101607881936268
19,0.36912,42,1.1236992480196824,-9.69,1.42,-0.32,0.4948912932160597,4.0737248111685505
20,0.38600799999999996,40,1.2049896265113655,-9.64,1.73,-0.25,0.4766242095883365,4.04577340545244
21,0.40568,37,1.3823530663329107,-9.59,2.03,-0.17,0.45129292990832004,4.023607653606606
22,0.414664,37,1.3823530663329107,-9.59,2.03,-0.17,0.4321798062303704,3.988411858981891
23,0.432228,34,1.4340850741849314,-9.52,2.32,-0.06,0.40454572624939095,3.9655309641592686
24,0.449272,31,1.4447837208385204,-9.45,2.6,0.06,0.37769851421214967,3.942449829457809
25,0.46893599999999996,29,1.2360420704814217,-9.37,2.86,0.21,0.35099505800613734,3.921192854065416
26,0.48581599999999997,26,1.1941105476462386,-9.3,3.08,0.36,0.3291378713980934,3.8940884875897632
27,0.49473999999999996,26,1.1941105476462386,-9.3,3.08,0.36,0.31336875660296326,3.857129875544308
28,0.5148159999999999,23,1.2035779991342481,-9.22,3.27,0.51,0.29246530578150354,3.8335830186042403
