,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
0,0.020208,55,7.40974358530712,-9.68,1.51,0.0,0.0,0.0
1,0.03788,50,8.737488197416921,-9.56,2.15,0.0,10.16237280536208,6.954926328508076
2,0.054591999999999995,46,9.189221947477382,-9.41,2.72,-0.03,10.255744543459393,6.9426861592768425
3,0.074332,41,8.971454731536017,-9.24,3.25,-0.06,10.378979809542825,6.959896278896735
4,0.091156,34,7.941347492711801,-9.07,3.7,-0.08,10.465705228846197,6.9401310120051365
5,0.110996,29,7.142366554581192,-8.99,3.89,-0.07,10.55699978555762,6.927725696152313
6,0.13050399999999998,22,5.1435687999675865,-8.81,4.29,-0.05,10.619314621867298,6.885526950398612
7,0.14743599999999998,16,1.913792047219342,-8.64,4.62,-0.03,10.623267763913503,6.783238808128926
8,0.167548,13,4.596357253303968,-8.55,4.79,-0.01,10.544396053811303,6.6866691102930185
9,0.18644,13,3.603859042748481,-8.47,4.92,0.02,10.418096451519299,6.60209259422356
10,0.1954,13,3.603859042748481,-8.47,4.92,0.02,10.333286064568284,6.472347412044616
11,0.215364,14,2.2102940980783528,-8.41,5.03,0.08,10.240727012309407,6.368348529494379
12,0.234972,17,18.933140257231496,-8.47,4.92,0.1,10.006476206017426,6.413603000711866
13,0.252124,20,24.125656467752336,-8.57,4.76,0.15,9.66088892691987,6.620839482223358
14,0.272068,24,15.828850242516037,-8.64,4.61,0.21,9.645486557335445,6.857230063936184
15,0.28892799999999996,27,22.972133118193444,-8.64,4.61,0.23,9.837423113440186,7.022286594464994
16,0.30768,27,16.897792755268362,-8.64,4.61,0.22,10.126901275517513,7.234071260252603
17,0.32732,27,12.145805860460639,-8.82,4.27,0.14,10.299602737766444,7.357243639457091
18,0.344464,27,15.742706247656404,-9.01,3.86,0.06,10.435922772938534,7.4342682060459
19,0.36430799999999997,26,8.182285744215976,-9.17,3.47,0.0,10.609527912569304,7.509616217387287
20,0.38434799999999997,25,7.397769934243697,-9.27,3.18,-0.07,10.709337283077055,7.503692616083483
21,0.401292,22,6.645020692217595,-9.41,2.75,-0.12,10.768068653315808,7.460627379068892
22,0.421072,21,3.5660342118381307,-9.53,2.3,-0.16,10.804303149469689,7.399578952868033
23,0.437876,18,2.8787844657077057,-9.62,1.86,-0.19,10.800392510276634,7.291692560194804
24,0.45502,16,2.6074700381787705,-9.66,1.64,-0.19,10.790873573752695,7.176684974600149
25,0.47506,14,1.8908463713374493,-9.73,1.16,-0.19,10.7599314781473,7.059722345821531
26,0.49207199999999995,12,3.5667071648791127,-9.78,0.68,-0.15,10.684446838030983,6.944108536998618
27,0.5118159999999999,11,4.506450931719994,-9.8,0.22,-0.11,10.575265593627229,6.861770994526275
28,0.531268,9,4.167841167798984,-9.8,-0.2,-0.07,10.482491778627393,6.784101400284227
29,0.547988,8,5.073746150528227,-9.78,-0.64,-0.05,10.406188390322505,6.699325311063472
30,0.568284,7,6.587328745402039,-9.76,-0.85,-0.02,10.291233339538202,6.655626139905403
31,0.586324,7,6.949143832156592,-9.72,-1.22,0.06,10.158217730600363,6.615689363353011
32,0.5953999999999999,7,6.949143832156592,-9.72,-1.22,0.06,10.063206817648275,6.516724033571693
33,0.615808,7,12.91599396097722,-9.64,-1.74,0.29,9.859063679891964,6.557392140410862
34,0.624948,7,12.91599396097722,-9.64,-1.74,0.29,9.713376574006306,6.513408566012222
35,0.641892,9,15.356812820373895,-9.52,-2.24,0.61,9.489139365157396,6.59090002586186
36,0.661812,11,14.036085636672356,-9.43,-2.57,0.77,9.286738425024994,6.721617535292069
37,0.681824,15,14.146211506972458,-9.37,-2.75,0.87,9.195721889126657,6.84157384130941
38,0.698688,21,17.506233175643466,-9.32,-2.87,0.92,9.187069217102373,6.9464314956712565
39,0.71902,27,12.851840335142667,-9.32,-2.9,0.93,9.235581432219494,7.093015911779939
40,0.7367319999999999,35,10.861183176799846,-9.34,-2.84,0.89,9.301709774915455,7.140982688799731
41,0.753672,41,8.249757572195684,-9.41,-2.59,0.88,9.376493047266505,7.140816597741754
42,0.7735839999999999,46,9.088223148668831,-9.51,-2.15,0.97,9.463338849557598,7.1513977745967106
43,0.790536,52,7.8537697954549195,-9.61,-1.67,0.91,9.538224146808865,7.132962347589134
