,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
0,0.020016,5,8.296228058581804,-8.9,-3.67,1.83,0.0,0.0
1,0.036944,7,9.673825510107157,-8.8,-3.85,1.95,-10.295762405547551,-3.997357665227981
2,0.056167999999999996,9,9.478887065473456,-8.72,-4.0,2.02,-10.139461565639296,-3.9501131834369705
3,0.076144,13,11.161733736297421,-8.67,-4.09,2.03,-9.960715760007345,-3.8808060543543537
4,0.09318,17,12.11774731540479,-8.66,-4.12,1.99,-9.788744662316462,-3.819362826241424
5,0.113008,22,12.80134367947365,-8.7,-4.08,1.91,-9.572390769698783,-3.70916634960367
6,0.12978399999999998,28,8.367000657344304,-8.8,-3.93,1.81,-9.429899026504064,-3.668457668791911
7,0.146672,34,3.5062943401830946,-8.86,-3.8,1.75,-9.362787395800636,-3.7050509573182593
8,0.16713999999999998,39,6.319438266175246,-9.02,-3.46,1.65,-9.332613700781872,-3.741345801310259
9,0.184048,43,7.387915808940976,-9.18,-3.05,1.59,-9.304992503119717,-3.7623152214446973
10,0.203172,47,6.356956819107709,-9.31,-2.66,1.53,-9.274304573761746,-3.7677381408607657
11,0.223188,51,6.176228622711435,-9.42,-2.25,1.48,-9.272527388690298,-3.77915741244451
12,0.239948,53,4.666411897807564,-9.53,-1.8,1.44,-9.285033652967732,-3.825147476368031
13,0.260112,54,3.972014602188668,-9.57,-1.55,1.44,-9.28574878589448,-3.8749062518805397
14,0.277948,54,3.553603804590489,-9.63,-1.04,1.46,-9.289330888117746,-3.944644178414353
15,0.28694,54,3.553603804590489,-9.63,-1.04,1.46,-9.308562288221781,-4.049541564488946
16,0.307092,54,2.490481881082454,-9.69,-0.27,1.45,-9.321698472547382,-4.125492748605575
17,0.326192,52,3.2151671807232667,-9.69,0.3,1.42,-9.349160404228762,-4.2078551915508005
18,0.343184,50,5.512349771195583,-9.67,0.86,1.37,-9.404169049469496,-4.270557599012768
19,0.36292399999999997,47,6.528996860161597,-9.61,1.38,1.33,-9.49658095331026,-4.288560899246745
20,0.37967999999999996,43,7.290219475434193,-9.53,1.88,1.32,-9.5882408795149,-4.309634896272593
21,0.398856,38,8.17798263632297,-9.48,2.11,1.32,-9.685056256365058,-4.298177165910536
22,0.407836,38,8.17798263632297,-9.48,2.11,1.32,-9.740392585544678,-4.361590273321825
23,0.42647999999999997,29,8.001387379698597,-9.31,2.74,1.34,-9.822261532518521,-4.347617577517943
24,0.443604,23,7.138389174036395,-9.2,3.08,1.36,-9.866144772788102,-4.3548422021503335
25,0.46349599999999996,17,4.066189862758502,-9.1,3.38,1.37,-9.87536877801494,-4.380252850535843
26,0.48041999999999996,12,4.950646422438185,-9.0,3.63,1.33,-9.86869509560063,-4.440803773375978
27,0.50046,10,6.604165352260647,-8.96,3.74,1.3,-9.828042577891527,-4.461875950878966
28,0.52074,9,7.280027472475636,-8.88,3.95,1.21,-9.816974289933857,-4.457941627121611
29,0.537588,10,5.172707221562033,-8.82,4.09,1.19,-9.833352248664774,-4.489891181544508
30,0.5575399999999999,12,5.293042603267048,-8.84,4.07,1.2,-9.807540996105352,-4.5223362527774835
31,0.576276,14,5.5677733430878815,-8.89,3.95,1.21,-9.79160489032525,-4.5574435204775
32,0.593228,14,23.29334668955923,-8.98,3.72,1.25,-9.777292140147209,-4.449668058566255
33,0.61322,17,4.908900080466092,-9.05,3.52,1.32,-9.719779914657856,-4.304609791338551
34,0.630164,21,9.747194468153387,-9.09,3.39,1.37,-9.741882277130195,-4.317294749808117
35,0.649624,23,20.415459828277196,-9.12,3.32,1.36,-9.791975515485893,-4.160663514989319
36,0.670356,23,20.71069530460047,-9.16,3.23,1.28,-9.78031562279912,-3.87120118236738
37,0.687264,23,9.533126454631764,-9.27,2.95,1.18,-9.702284131541301,-3.7523713047003
38,0.707484,22,4.2476934917670315,-9.36,2.68,1.11,-9.621274906200927,-3.749898606527678
39,0.72604,21,2.944061820003106,-9.43,2.45,1.05,-9.593451719459088,-3.8200248922305446
40,0.742976,19,3.7245268155834235,-9.5,2.15,1.03,-9.579140821431817,-3.9004066751498696
