,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,20208,20196,55,-9.68,1.51,0,22.19,-12,205.63,35.75,-22.56,22.25,-9.13,-79.12,89.69,-6.51,-4.84,0.7,3.11,-6.69,0.69,-0.71,0.19,0.68,0.06
1,37880,17668,50,-9.56,2.15,0,5.56,8.56,181.5,35.75,-22.56,22.25,-5.69,-75.5,90.25,-7.2,-5.92,1.09,2.29,-8.36,1.1,-0.71,0.21,0.68,0.04
2,54592,16708,46,-9.41,2.72,-0.03,5.06,12.38,176.88,30.19,-28.37,22.06,-4,-73.81,90.69,-8.65,-6.15,0.47,0.67,-9.15,0.52,-0.71,0.23,0.67,0.01
3,74332,19736,41,-9.24,3.25,-0.06,15.13,3.88,162.5,30.19,-28.37,22.06,-0.94,-70.56,91.12,-7.68,-5.36,-0.01,1.47,-8.85,0.06,-0.7,0.25,0.66,0
4,91156,16820,34,-9.07,3.7,-0.08,17.69,-4.25,138.63,30.19,-28.37,22.06,-358.44,-67.75,91.19,-6.32,-3.74,-0.07,2.75,-7.45,0,-0.7,0.26,0.66,-0.01
5,110996,19832,29,-8.99,3.89,-0.07,6.75,-8.56,127.75,24.19,-31.87,22.87,-356.31,-65.31,90.94,-5.32,-2.02,0.86,3.58,-6.11,0.93,-0.7,0.28,0.65,-0.02
6,130504,19504,22,-8.81,4.29,-0.05,3.5,-8.88,125.31,24.19,-31.87,22.87,-353.94,-62.81,90.56,-7.86,-0.59,-0.22,0.85,-5.07,-0.17,-0.7,0.29,0.65,-0.04
7,147436,16928,16,-8.64,4.62,-0.03,-1.12,-4,70,19.5,-36.69,23.19,-352.31,-61.19,90.31,-7.75,3.04,-0.44,0.84,-1.67,-0.41,-0.7,0.3,0.64,-0.05
8,167548,20108,13,-8.55,4.79,-0.01,-4.13,-4.94,50.38,19.5,-36.69,23.19,-351.31,-60.25,90,-8.2,9.32,-1.08,0.3,4.46,-1.07,-0.71,0.3,0.64,-0.05
9,186440,18888,13,-8.47,4.92,0.02,-18.81,-6,44.5,19.5,-36.69,23.19,-350.25,-59.44,89.37,-8.38,8.57,-0.26,0.06,3.59,-0.31,-0.71,0.31,0.64,-0.06
10,195400,8956,13,-8.47,4.92,0.02,-18.81,-6,44.5,19.5,-36.69,23.19,-350.25,-59.44,89.37,-8.38,8.57,-0.26,0.06,3.59,-0.31,-0.71,0.31,0.64,-0.06
11,215364,19960,14,-8.41,5.03,0.08,-21.06,1.75,9.19,15.69,-39.69,22.87,-349.5,-59.31,88.81,-6.8,6.08,-0.92,1.63,1.09,-1.02,-0.71,0.3,0.64,-0.06
12,234972,19604,17,-8.47,4.92,0.1,-35.06,13.38,-48.19,15.69,-39.69,22.87,-349.56,-60.31,88.44,-18.27,20.42,4.71,-9.75,15.57,4.58,-0.71,0.29,0.64,-0.06
13,252124,17148,20,-8.57,4.76,0.15,-59.56,12.44,-60.81,15.06,-40.19,21.69,-349.63,-60.88,88.06,-23.72,22.44,6.48,-15.15,17.68,6.32,-0.71,0.28,0.64,-0.07
14,272068,19940,24,-8.64,4.61,0.21,-85.69,32.75,-39.38,15.06,-40.19,21.69,-349.06,-61.81,87.25,-8.54,-10.9,-2.89,0.1,-15.52,-3.11,-0.71,0.26,0.65,-0.07
15,288928,16856,27,-8.64,4.61,0.23,-110.5,54.31,16.87,15.06,-40.19,21.69,-346.81,-61.88,87.06,-4.97,-17.38,-5.26,3.67,-22,-5.5,-0.71,0.26,0.65,-0.08
16,307680,18748,27,-8.64,4.61,0.22,-91.69,57.56,3.19,17.56,-39.19,19.69,-345.88,-62.63,87.62,-11.92,-11.63,-3.7,-3.21,-16.13,-3.88,-0.71,0.24,0.66,-0.09
17,327320,19636,27,-8.82,4.27,0.14,-53.38,52.38,-152.13,17.56,-39.19,19.69,-347.56,-65.5,88.44,-19.51,-0.53,-3.7,-10.58,-4.59,-3.81,-0.71,0.22,0.67,-0.08
18,344464,17140,27,-9.01,3.86,0.06,5.63,25.69,-125.19,17.56,-39.19,19.69,-349.81,-68.12,89.44,-15.52,-9.26,-6.27,-6.42,-12.92,-6.3,-0.71,0.2,0.68,-0.06
19,364308,19840,26,-9.17,3.47,0,-33.25,34.31,-115.25,16.37,-38.38,18.56,-350.5,-69.19,90,-10.07,-4.74,-1.01,-0.85,-8.08,-0.97,-0.7,0.19,0.68,-0.05
20,384348,20036,25,-9.27,3.18,-0.07,17.19,15.69,-100.31,16.37,-38.38,18.56,-352.31,-71,91.31,-11.45,-3.94,-1.6,-2.11,-6.93,-1.5,-0.7,0.18,0.69,-0.04
21,401292,16940,22,-9.41,2.75,-0.12,35.75,4.38,-147.44,21.06,-36.25,18.06,-355.56,-73.62,92.56,-13.02,-1.96,-3.12,-3.61,-4.71,-2.99,-0.7,0.17,0.69,-0.03
22,421072,19776,21,-9.53,2.3,-0.16,49.25,0.5,-135.75,21.06,-36.25,18.06,-359.13,-76.37,94.19,-11.78,-0.05,-1.63,-2.25,-2.35,-1.46,-0.7,0.16,0.69,-0.01
23,437876,16800,18,-9.62,1.86,-0.19,57.38,-6.31,-132.81,21.06,-36.25,18.06,-2.75,-78.94,95.81,-10.3,-0.82,-1,-0.67,-2.68,-0.81,-0.7,0.15,0.7,0.02
24,455020,17140,16,-9.66,1.64,-0.19,66.62,-9.69,-134.94,24.37,-32.56,18.5,-6.81,-81.62,97.87,-10.67,-0.55,-1.62,-0.97,-1.96,-1.42,-0.7,0.14,0.7,0.04
25,475060,20036,14,-9.73,1.16,-0.19,78.19,-13.31,-146.06,24.37,-32.56,18.5,-11.25,-84.44,174.56,-10.45,1.56,-1.82,-0.69,0.64,-1.64,-0.7,0.14,0.7,0.07
26,492072,17008,12,-9.78,0.68,-0.15,89.75,-18.44,-141.81,24.37,-32.56,18.5,-13.56,-85.81,175.94,-9.96,2.55,-1.86,0.17,3.02,-1.89,-0.7,0.13,0.7,0.1
27,511816,19740,11,-9.8,0.22,-0.11,94.44,-17.75,-136.38,28.75,-30.75,19.87,-18.06,-88.5,178.63,-9.55,4.15,-2.32,0.24,3.92,-2.21,-0.69,0.13,0.7,0.12
28,531268,19448,9,-9.8,-0.2,-0.07,94.87,-9.69,-128.5,28.75,-30.75,19.87,-22.44,-88.69,-178.75,-8.95,1.51,-3.78,0.85,1.72,-3.7,-0.69,0.12,0.7,0.15
29,547988,16716,8,-9.78,-0.64,-0.05,115,-1,-131.06,32.06,-26.37,22.25,-27.06,-86.19,-176.19,-10.57,2.92,-3.58,-0.78,3.56,-3.53,-0.69,0.12,0.7,0.17
30,568284,20292,7,-9.76,-0.85,-0.02,128.94,-10.63,-118.44,32.06,-26.37,22.25,-31.87,-83.81,-6.13,-10.72,5.09,-2.17,-0.97,6.14,-2.18,-0.68,0.12,0.7,0.19
31,586324,18036,7,-9.72,-1.22,0.06,127.37,-22.5,-104.31,32.06,-26.37,22.25,-36.38,-81.75,-84.81,-12.21,5.08,0.49,-2.51,6.47,0.36,-0.68,0.12,0.69,0.22
32,595400,9072,7,-9.72,-1.22,0.06,127.37,-22.5,-104.31,32.06,-26.37,22.25,-36.38,-81.75,-84.81,-12.21,5.08,0.49,-2.51,6.47,0.36,-0.68,0.12,0.69,0.22
