,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,20000,19988,-3,-9.77,-0.64,0.39,23.12,-4.81,-61,30.75,-22.87,33,-53,-85.56,-3.69,-9.72,1.78,-0.55,0.05,2.42,-0.95,0.64,-0.27,-0.64,-0.33
1,36544,16540,-3,-9.76,-0.82,0.41,10.44,-5.06,-56.25,33,-20.06,32.69,-55.31,-84.56,-4.81,-9.79,1.53,-0.35,-0.03,2.36,-0.77,0.64,-0.27,-0.64,-0.34
2,56644,20096,-3,-9.75,-0.91,0.42,4.31,-4.81,-56.31,33,-20.06,32.69,-56.44,-83.5,-5.88,-8.9,0.4,-0.49,0.83,1.42,-0.92,0.64,-0.26,-0.64,-0.34
3,74684,18036,-3,-9.73,-1.11,0.43,-5.5,-1.75,-61.69,33,-20.06,32.69,-57.5,-82.44,-70.25,-9.18,-0.66,-0.82,0.53,0.55,-1.26,0.63,-0.25,-0.64,-0.35
4,91492,16804,-3,-9.7,-1.31,0.43,-4.94,-1.75,-63.63,33.25,-17.87,33,-58.94,-81.81,-71.62,-9.76,-1.48,-1.06,-0.07,-0.05,-1.51,0.63,-0.25,-0.64,-0.36
5,111320,19824,-3,-9.67,-1.53,0.44,0.44,-3.13,-65.25,33.25,-17.87,33,-60.13,-80.62,-73.75,-9.97,-1.64,-1.07,-0.06,-0.35,-1.14,0.62,-0.25,-0.65,-0.37
6,128252,16928,-3,-9.63,-1.74,0.46,12.38,-3.63,-67.31,33.25,-17.87,33,-61.56,-79.31,-75.19,-9.54,-2.05,-0.77,0.09,-0.31,-1.23,0.62,-0.24,-0.65,-0.37
7,137264,9004,-3,-9.63,-1.74,0.46,12.38,-3.63,-67.31,33.25,-17.87,33,-61.56,-79.31,-75.19,-9.54,-2.05,-0.77,0.09,-0.31,-1.23,0.62,-0.24,-0.65,-0.37
8,157448,20180,-3,-9.59,-1.96,0.49,36.88,-8.25,-64.56,35.19,-15.69,32.25,-65.06,-77.44,-75.69,-10.2,0.57,-1.07,-0.63,2.64,-1.6,0.61,-0.24,-0.64,-0.39
9,166468,9016,-3,-9.59,-1.96,0.49,36.88,-8.25,-64.56,35.19,-15.69,32.25,-65.06,-77.44,-75.69,-10.2,0.57,-1.07,-0.63,2.64,-1.6,0.61,-0.24,-0.64,-0.39
10,183348,16876,-2,-9.52,-2.26,0.58,42.63,-9.25,-66.12,36.69,-13.5,32.69,-68.75,-75.5,-75.37,-10.74,1.22,-0.2,-1.24,3.6,-0.82,0.6,-0.24,-0.64,-0.41
11,203408,20056,-2,-9.46,-2.47,0.65,44.44,-10.75,-69.75,36.69,-13.5,32.69,-70.81,-74.19,-74.94,-10.48,-0.79,-0.85,-1.04,1.78,-1.54,0.6,-0.23,-0.64,-0.42
12,223116,19704,-1,-9.4,-2.67,0.73,46.19,-12.56,-64.62,36.69,-13.5,32.69,-72.75,-72.94,-74.25,-11.32,0.65,-0.76,-1.94,3.42,-1.54,0.59,-0.23,-0.64,-0.44
13,240112,16992,2,-9.34,-2.85,0.83,43.38,-21.37,-59.31,38.06,-10.19,33.75,-74.37,-72.31,-73.69,-11.73,0.55,-2.01,-2.39,3.41,-2.85,0.59,-0.23,-0.63,-0.45
14,259940,19824,3,-9.28,-3.01,0.95,28.56,-27.81,-54.44,38.06,-10.19,33.75,-75.87,-71.12,-72.5,-14.79,3.83,0.82,-5.51,6.85,-0.12,0.58,-0.23,-0.63,-0.46
15,276684,16740,6,-9.22,-3.14,1.05,1.44,-29.31,-34.81,38.06,-10.19,33.75,-76.62,-70.19,-71.44,-12.17,3.47,-1.74,-2.94,6.62,-2.8,0.58,-0.22,-0.63,-0.46
16,293992,17304,10,-9.21,-3.17,1.09,-9.75,-28.56,-18.44,39.56,-6.56,32.25,-76.94,-69.81,-70.37,-13.23,6.61,-0.25,-4.02,9.8,-1.38,0.58,-0.22,-0.63,-0.46
17,314156,20160,14,-9.2,-3.17,1.16,-42,-36.69,11.5,39.56,-6.56,32.25,-75.56,-69.87,-69.19,-12.87,6.61,0.66,-3.66,9.75,-0.52,0.59,-0.22,-0.63,-0.46
18,331000,16840,20,-9.22,-3.1,1.2,-69.87,-31.69,36,39.56,-6.56,32.25,-74.56,-70.12,-68.75,-11.84,3.58,0.93,-2.02,5.21,0.47,0.6,-0.21,-0.63,-0.45
19,349904,18900,24,-9.25,-2.99,1.21,-57.19,-20.5,43.63,39.56,-5.56,30.25,-72.94,-70.69,-67.94,-10.07,1.19,1.86,0.44,3.26,-0.46,0.61,-0.21,-0.63,-0.44
20,369796,19888,29,-9.31,-2.83,1.2,-25.19,-2.13,63.63,39.56,-5.56,30.25,-71.25,-71.69,-66.94,-7.56,-0.58,-1.62,1.74,2.24,-2.83,0.61,-0.22,-0.63,-0.43
21,386500,16700,34,-9.39,-2.55,1.17,-23.75,1.56,102.5,39.56,-7,28.37,-69.44,-73.31,-65.31,-9.48,-1.48,0.89,-0.08,1.06,-0.27,0.61,-0.22,-0.63,-0.43
22,406644,20140,38,-9.44,-2.36,1.17,-12.06,-3.44,121.06,39.56,-7,28.37,-66.87,-75.31,-61.63,-10.75,-1.71,-1.95,-1.27,0.45,-3.12,0.62,-0.23,-0.62,-0.41
23,424572,17924,43,-9.53,-1.99,1.15,-15.63,18.5,110.31,39.56,-7,28.37,-64.44,-77.37,-58.31,-12.38,-0.84,-1.65,-2.81,0.97,-2.78,0.63,-0.24,-0.62,-0.4
24,441532,16956,47,-9.6,-1.64,1.07,-18.44,22.87,111.06,39,-8.75,27.19,-63.69,-78.44,-56.63,-12.52,-3,-1.17,-2.87,-1.55,-2.2,0.64,-0.26,-0.62,-0.39
25,461424,19884,49,-9.67,-1.25,0.98,-16.37,25.81,124.12,39,-8.75,27.19,-61.06,-80.62,-51.75,-11.52,-4.41,-1.4,-1.81,-3.36,-2.34,0.64,-0.27,-0.62,-0.37
26,478416,16984,51,-9.72,-0.82,0.9,-0.06,23.19,130.75,39,-8.75,27.19,-58.56,-82.75,-42.44,-11.17,-4.05,-1.41,-1.44,-3.22,-2.32,0.64,-0.28,-0.61,-0.36
27,498064,19644,52,-9.76,-0.37,0.85,2.13,15.19,138.25,36.75,-11.38,27.19,-56,-84.5,-2.19,-9.61,-2.65,-1.44,0.14,-2.27,-2.29,0.65,-0.29,-0.61,-0.35
28,507084,9016,52,-9.76,-0.37,0.85,2.13,15.19,138.25,36.75,-11.38,27.19,-56,-84.5,-2.19,-9.61,-2.65,-1.44,0.14,-2.27,-2.29,0.65,-0.29,-0.61,-0.35
