,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,20016,20004,5,-8.9,-3.67,1.83,31.06,-30.69,-67.37,39.38,-11.06,29.69,-84.56,-64.44,-63.19,-12.97,3.22,0.17,-4.12,6.99,-1.73,-0.57,0.21,0.6,0.52
1,36944,16924,7,-8.8,-3.85,1.95,15,-31.31,-60.13,39.38,-11.06,29.69,-85.25,-63.25,-63,-12.13,4.98,0.39,-3.38,8.92,-1.61,-0.57,0.2,0.6,0.53
2,56168,19220,9,-8.72,-4,2.02,-25,-29.56,-40.31,39.38,-8.19,28.87,-85.25,-62.38,-63.25,-10.53,4.86,-0.62,-1.84,8.91,-2.66,-0.57,0.19,0.6,0.53
3,76144,19972,13,-8.67,-4.09,2.03,-54.31,-23.75,-12.5,39.38,-8.19,28.87,-84.31,-62.06,-63.81,-11.12,6.31,-1.1,-2.45,10.43,-3.13,-0.58,0.18,0.6,0.52
4,93180,17032,17,-8.66,-4.12,1.99,-76.12,-18.62,10.31,40.75,-5.25,27.75,-83.37,-62.13,-64.12,-11.45,7.33,-0.84,-2.78,11.45,-2.83,-0.58,0.17,0.61,0.51
5,113008,19824,22,-8.7,-4.08,1.91,-88.44,-10.81,42.44,40.75,-5.25,27.75,-81.44,-62.56,-64.87,-10.83,8.53,2.26,-2.12,12.62,0.34,-0.59,0.17,0.61,0.5
6,129784,16772,28,-8.8,-3.93,1.81,-81.62,-0.88,78.62,40.75,-5.25,27.75,-78.81,-63.81,-65.25,-7.64,3.76,-1.28,1.15,7.69,-3.09,-0.59,0.17,0.62,0.49
7,146672,16884,34,-8.86,-3.8,1.75,-65.31,10.13,94.12,40.75,-6.38,25.37,-75.62,-65.69,-65.12,-9.48,-0.73,-0.18,-0.54,2.91,-1.88,-0.6,0.17,0.62,0.47
8,167140,20464,39,-9.02,-3.46,1.65,-53.25,5.44,133,40.75,-6.38,25.37,-72.19,-68.12,-63.44,-13.31,-3.12,-3.09,-4.2,0.13,-4.72,-0.62,0.18,0.62,0.45
9,184048,16904,43,-9.18,-3.05,1.59,-39.69,4.69,140.13,40.75,-6.38,25.37,-70.56,-69.37,-62.38,-14.91,-2.51,-2.09,-6.5,1.28,-3.27,-0.63,0.19,0.62,0.43
