,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,16788,16776,3,-9.67,-1.57,-0.26,-2.88,-9.25,-92.44,34.56,-25.69,30.25,-54.31,-80.62,-99.44,-10.13,0.07,-0.22,-0.48,1.8,0.02,-0.62,0.21,0.68,0.32
1,35692,18900,3,-9.62,-1.87,-0.23,-3.06,-8.69,-91.44,35.38,-22.87,29.06,-56,-78.87,-97.12,-10.21,-0.6,-0.14,-0.6,1.29,-0.02,-0.61,0.2,0.69,0.33
2,44600,8904,3,-9.62,-1.87,-0.23,-3.06,-8.69,-91.44,35.38,-22.87,29.06,-56,-78.87,-97.12,-10.21,-0.6,-0.14,-0.6,1.29,-0.02,-0.61,0.2,0.69,0.33
3,61192,16588,3,-9.53,-2.29,-0.17,17.25,-12.5,-82.75,35.38,-22.87,29.06,-58.75,-76.44,-94.25,-9.63,1.94,0.87,-0.1,4.24,1.05,-0.61,0.2,0.69,0.34
4,78084,16888,3,-9.5,-2.42,-0.14,17.75,-14.63,-82.5,37.25,-19.75,28.25,-60.63,-74.81,-92.44,-9.44,2.91,0.72,0.01,5.47,0.83,-0.61,0.19,0.69,0.36
5,97704,19616,5,-9.43,-2.69,-0.07,7.13,-19.75,-80.5,37.25,-19.75,28.25,-62.06,-73.37,-90.75,-11.12,2.17,0.03,-1.72,4.97,0.07,-0.6,0.18,0.69,0.36
6,114448,16740,6,-9.37,-2.89,0,-3.88,-22.69,-60.13,37.25,-19.75,28.25,-62.56,-72.81,-90.06,-11.41,1.79,-0.34,-2.04,4.68,-0.33,-0.6,0.17,0.69,0.37
7,133588,19136,9,-9.32,-3.04,0.05,-14.25,-25.31,-44.31,38.75,-15.75,28.25,-63.31,-71.87,-88.81,-12.12,1.95,-4.27,-2.8,5,-4.33,-0.6,0.17,0.69,0.37
8,153944,20352,11,-9.28,-3.16,0.11,-32.69,-29.62,-34.25,38.75,-15.75,28.25,-63.31,-71.12,-87.81,-15.29,4.51,-2.41,-6.01,7.68,-2.53,-0.61,0.16,0.69,0.37
9,170768,16820,15,-9.25,-3.23,0.17,-53.38,-32.38,-18.75,40,-13.56,27.06,-62.81,-70.69,-86.94,-12.72,6.65,-1.89,-3.46,9.88,-2.07,-0.61,0.15,0.69,0.37
10,191032,20260,19,-9.24,-3.25,0.19,-57.38,-33.81,-9.56,40,-13.56,27.06,-61.69,-70.5,-86.12,-11.77,6.63,-1.58,-2.53,9.88,-1.8,-0.61,0.14,0.69,0.37
11,209588,18552,25,-9.25,-3.24,0.24,-48,-34.44,11.25,40,-13.56,27.06,-60.38,-70.81,-85,-10.61,5.78,1.45,-1.35,8.98,1.17,-0.62,0.13,0.68,0.36
12,226600,17008,31,-9.28,-3.13,0.31,-16.19,-30.31,44.56,41.88,-13.25,24,-59.69,-71.25,-84.19,-9.33,2.87,-2.05,-0.01,5.89,-2.41,-0.63,0.14,0.68,0.35
13,246444,19840,37,-9.37,-2.85,0.39,2.81,-23.12,103.94,41.88,-13.25,24,-57.88,-72.87,-82.06,-12.16,0.54,0.17,-2.73,3.19,-0.26,-0.64,0.15,0.67,0.34
14,263432,16984,43,-9.49,-2.41,0.48,-14.94,-29.5,145.38,41.88,-13.25,24,-54.88,-75.37,-78.75,-11.91,0.67,-0.53,-2.42,3.09,-1.01,-0.64,0.16,0.67,0.33
15,281860,18424,47,-9.6,-1.94,0.42,-60.63,19.69,147.06,41.19,-13.38,22.06,-51.13,-78.25,-77.62,-13.24,-1.19,-1.35,-3.64,0.75,-1.78,-0.65,0.17,0.67,0.31
16,302236,20372,51,-9.64,-1.72,0.33,-79.25,47.81,138.25,41.19,-13.38,22.06,-47.13,-81.06,-81,-14.22,-5.33,-0.98,-4.53,-3.83,-1.22,-0.66,0.18,0.68,0.29
17,319292,17052,54,-9.72,-1.27,0.14,-77.69,46.56,139.06,40.25,-15.56,21.25,-43.19,-83.81,-6.13,-13.79,-6.86,-0.94,-4.04,-5.81,-0.99,-0.66,0.19,0.68,0.26
18,339588,20292,55,-9.77,-0.82,-0.01,-54,39.63,138.25,40.25,-15.56,21.25,-39.69,-86.5,-176.5,-13.47,-6.63,-0.55,-3.68,-6.04,-0.48,-0.66,0.2,0.68,0.24
19,358652,19060,56,-9.79,-0.36,-0.1,-20.19,19.25,138.69,40.25,-15.56,21.25,-36.69,-88.94,-179.19,-11.43,-5.39,-0.41,-1.63,-5.25,-0.29,-0.67,0.22,0.68,0.22
20,375760,17104,56,-9.8,0.09,-0.13,-2.94,7.81,136.5,36.25,-19.19,22.37,-35.38,-89,179.44,-9.66,-5.25,-0.51,1.16,-4.93,-0.56,-0.67,0.23,0.67,0.21
21,384760,8996,56,-9.8,0.09,-0.13,-2.94,7.81,136.5,36.25,-19.19,22.37,-35.38,-89,179.44,-9.66,-5.25,-0.51,1.16,-4.93,-0.56,-0.67,0.23,0.67,0.21
22,404708,19944,55,-9.77,0.81,-0.15,21.5,0.56,152.31,36.25,-19.19,22.37,-31.56,-85.12,175.19,-8.94,-3.78,-0.82,0.82,-4.59,-0.67,-0.68,0.26,0.66,0.18
23,421452,16740,53,-9.71,1.3,-0.15,21.25,-1.31,147.5,31.87,-22.56,23.5,-29.12,-82.31,96.87,-8.75,-3.87,-0.28,0.96,-5.17,-0.13,-0.68,0.27,0.66,0.18
24,441372,19916,51,-9.68,1.53,-0.16,15.31,4.19,142.69,31.87,-22.56,23.5,-26.69,-79.5,95.62,-8.08,-2.79,-0.22,1.55,-4.56,-0.04,-0.68,0.29,0.65,0.16
25,459292,17916,48,-9.59,1.99,-0.18,13.75,7,140,31.87,-22.56,23.5,-24.19,-76.81,95.25,-8.15,-2.7,0.2,1.38,-4.92,0.41,-0.68,0.3,0.65,0.15
26,476120,16824,44,-9.49,2.44,-0.22,12.69,6.88,134.94,28.06,-25.87,23.06,-23,-75.5,95.19,-7.78,-3.41,0.07,1.65,-6.06,0.31,-0.69,0.32,0.64,0.13
27,485064,8940,44,-9.49,2.44,-0.22,12.69,6.88,134.94,28.06,-25.87,23.06,-23,-75.5,95.19,-7.78,-3.41,0.07,1.65,-6.06,0.31,-0.69,0.32,0.64,0.13
28,504780,19712,38,-9.33,3,-0.26,9,7.5,107.06,28.06,-25.87,23.06,-19.75,-72.06,95.06,-7.67,-3.58,-0.03,1.65,-6.58,0.23,-0.69,0.34,0.63,0.11
29,521368,16584,32,-9.23,3.29,-0.29,17.06,3.5,89.75,25.37,-29.19,23.37,-18.19,-70.25,95.12,-7.18,-3.06,0,2.04,-6.35,0.29,-0.69,0.35,0.63,0.11
30,541300,19928,27,-9.18,3.42,-0.31,21.87,-1.31,78.81,25.37,-29.19,23.37,-17,-68.69,95.12,-7.33,-2.54,0.06,1.8,-6.09,0.38,-0.69,0.36,0.62,0.1
31,559216,17912,21,-9.09,3.65,-0.33,26.81,-3.63,66.81,25.37,-29.19,23.37,-16.12,-67.31,95.19,-7.36,-0.96,0.18,1.68,-4.72,0.52,-0.69,0.37,0.62,0.1
32,576104,16884,15,-9.01,3.84,-0.35,24.62,-3.56,60.69,22.69,-34.25,23.37,-15.75,-66.75,95.19,-6.38,1.82,-0.89,2.59,-2.1,-0.52,-0.69,0.38,0.61,0.09
33,585056,8948,15,-9.01,3.84,-0.35,24.62,-3.56,60.69,22.69,-34.25,23.37,-15.75,-66.75,95.19,-6.38,1.82,-0.89,2.59,-2.1,-0.52,-0.69,0.38,0.61,0.09
34,604792,19732,9,-8.89,4.11,-0.41,24.81,4.56,64.44,22.69,-34.25,23.37,-14.63,-65,95.69,-7.16,4.7,-1.07,0.68,2.16,-0.07,-0.69,0.39,0.61,0.09
35,621412,16616,5,-8.79,4.31,-0.44,10.19,3.88,65.19,21.5,-33.19,23.75,-13.56,-63.75,95.87,-9.02,8.05,-0.1,-0.23,3.74,0.33,-0.69,0.39,0.61,0.08
36,641496,20080,4,-8.75,4.39,-0.45,-6,7.63,39.5,21.5,-33.19,23.75,-12.56,-62.81,95.94,-8.84,8.8,1.53,-0.11,4.35,1.99,-0.69,0.4,0.6,0.08
37,659208,17708,3,-8.7,4.49,-0.46,-21.37,11.31,16.94,21.5,-33.19,23.75,-11.75,-62.38,95.81,-7.57,9.6,0.66,1.12,5.09,1.13,-0.69,0.4,0.6,0.07
38,676012,16800,4,-8.67,4.54,-0.47,-15.56,14,14.94,19.69,-35,25.75,-11.38,-62.25,95.87,-7.86,7.39,1,0.81,2.85,1.49,-0.69,0.4,0.61,0.07
39,684900,8884,4,-8.67,4.54,-0.47,-15.56,14,14.94,19.69,-35,25.75,-11.38,-62.25,95.87,-7.86,7.39,1,0.81,2.85,1.49,-0.69,0.4,0.61,0.07
40,704764,19860,7,-8.7,4.48,-0.53,-16.87,28.5,-14.19,19.69,-35,25.75,-11.06,-62.56,96.81,-7.79,8.35,0.7,-1.48,2.81,1.78,-0.68,0.39,0.61,0.06
41,721412,16640,9,-8.72,4.45,-0.56,-51.88,30.56,-15.88,18.5,-35.38,25,-10.25,-62.75,97.19,-25.35,13.61,5.23,-16.63,9.16,5.8,-0.68,0.39,0.62,0.06
42,741580,20164,12,-8.72,4.43,-0.53,-131.88,4.5,-8.88,18.5,-35.38,25,-8.56,-62.94,95.69,-18.02,21.85,4.97,-9.29,17.42,5.41,-0.69,0.37,0.62,0.05
43,759256,17672,17,-8.74,4.42,-0.32,-200.31,55.44,-13.75,18.5,-35.38,25,-4.94,-63.13,93.31,-2.18,-5.57,-2.16,6.56,-9.99,-1.9,-0.7,0.35,0.63,0.03
44,776280,17020,21,-8.74,4.43,-0.24,-166.25,74.62,3.69,19.56,-35.38,24.19,-3.06,-63.06,93.12,-7.45,-14.24,-4.15,1.27,-18.71,-3.92,-0.7,0.33,0.63,0.01
45,796168,19884,22,-8.71,4.48,-0.25,-95.37,62.56,10.38,19.56,-35.38,24.19,-0.12,-62.69,93.25,-9.02,-16.3,-8.15,-0.27,-20.72,-7.84,-0.7,0.32,0.64,0
46,805248,9076,22,-8.71,4.48,-0.25,-95.37,62.56,10.38,19.56,-35.38,24.19,-0.12,-62.69,93.25,-9.02,-16.3,-8.15,-0.27,-20.72,-7.84,-0.7,0.32,0.64,0
47,822176,16924,22,-8.87,4.15,-0.42,-3.19,40.38,-91.44,19.56,-37.88,18.75,-1.12,-64.75,95.87,-15.14,-5.12,-3.62,-6.26,-9.28,-3.19,-0.69,0.31,0.65,0.01
48,842248,20068,22,-8.92,4.02,-0.48,62.56,10.69,-82.69,19.56,-37.88,18.75,-3.5,-66.31,97.94,-16.2,-2.13,0.1,-7.22,-6.02,0.65,-0.69,0.31,0.66,0.02
49,859428,17176,22,-9.08,3.64,-0.64,84.25,-4.38,-77.56,19.56,-37.88,18.75,-6.63,-67.81,100,-9.39,1.91,2.66,-0.31,-1.73,3.31,-0.68,0.31,0.66,0.04
50,876152,16720,21,-9.13,3.49,-0.68,70.94,-1.25,-88.75,20.19,-35.25,20.69,-9.25,-68.69,101.06,-7.42,2.03,0.22,1.77,-1.29,0.95,-0.68,0.31,0.66,0.06
51,885092,8936,21,-9.13,3.49,-0.68,70.94,-1.25,-88.75,20.19,-35.25,20.69,-9.25,-68.69,101.06,-7.42,2.03,0.22,1.77,-1.29,0.95,-0.68,0.31,0.66,0.06
52,904848,19752,20,-9.29,3,-0.8,28.25,17.06,-95.44,20.19,-35.25,20.69,-13.13,-71.44,104.94,-9.71,0.86,-2.66,-1.45,-2.88,-2.42,-0.67,0.3,0.67,0.08
53,921592,16740,19,-9.37,2.74,-0.88,31,17.19,-77.5,23.06,-31.87,20.56,-15.19,-72.87,107.94,-11.43,-0.5,-3.62,-2.06,-3.25,-2.73,-0.67,0.3,0.68,0.09
54,942008,20412,19,-9.4,2.62,-0.92,35.56,5,-72.81,23.06,-31.87,20.56,-17.25,-74.12,110.69,-10.08,1.17,-1.92,-0.65,-1.32,-0.97,-0.66,0.3,0.68,0.1
55,959216,17204,18,-9.49,2.23,-0.98,22.81,6.88,-84.75,23.06,-31.87,20.56,-19.31,-75.56,113.81,-9.38,1.02,-1.18,0.11,-1.2,-0.2,-0.66,0.29,0.68,0.11
56,975988,16768,16,-9.52,2.08,-1,20.62,8.19,-89.37,25,-30.19,21.75,-21.5,-77.06,117.94,-10.24,-0.15,-1.4,-0.68,-2.08,-0.37,-0.66,0.28,0.69,0.12
57,985016,9024,16,-9.52,2.08,-1,20.62,8.19,-89.37,25,-30.19,21.75,-21.5,-77.06,117.94,-10.24,-0.15,-1.4,-0.68,-2.08,-0.37,-0.66,0.28,0.69,0.12
58,1004848,19828,14,-9.61,1.61,-1.06,27.5,5.25,-96.87,25,-30.19,21.75,-23.87,-78.62,123.25,-10.43,-0.44,-0.86,-0.84,-1.82,0.07,-0.65,0.27,0.69,0.15
59,1021800,16948,13,-9.66,1.27,-1.08,40.25,1.69,-100.75,26.75,-28,21.69,-26.56,-80.12,130.44,-10.42,-0.29,-1.25,-0.76,-1.56,-0.16,-0.65,0.26,0.7,0.15
60,1041900,20096,12,-9.69,0.94,-1.1,51.88,-2.13,-94.06,26.75,-28,21.69,-29.5,-81.5,139.44,-10.14,0.43,-1.83,-0.44,-0.5,-0.72,-0.64,0.26,0.7,0.17
61,1059148,17244,10,-9.72,0.62,-1.1,52.5,-3.06,-88.87,26.75,-28,21.69,-32.38,-82.5,150.38,-10.16,0.51,-1.56,-0.44,-0.11,-0.45,-0.64,0.25,0.7,0.19
62,1076180,17024,9,-9.73,0.46,-1.1,51.44,-3.13,-90.94,28.56,-24.75,22.87,-35.31,-83.25,178.19,-10.24,-0.59,-1.54,-0.5,-0.89,-0.44,-0.63,0.25,0.7,0.2
63,1085244,9060,9,-9.73,0.46,-1.1,51.44,-3.13,-90.94,28.56,-24.75,22.87,-35.31,-83.25,178.19,-10.24,-0.59,-1.54,-0.5,-0.89,-0.44,-0.63,0.25,0.7,0.2
64,1105232,19984,7,-9.74,-0.03,-1.09,64.56,-2.19,-96.75,28.56,-24.75,22.87,-38.56,-83.56,-179.75,-10.12,-0.25,-1.84,-0.37,-0.05,-0.74,-0.63,0.24,0.71,0.23
65,1122184,16948,5,-9.73,-0.38,-1.09,72.94,-0.88,-100,30.87,-21.5,24,-42,-83.19,-177.69,-10.23,0.18,-1.76,-0.49,0.57,-0.67,-0.62,0.24,0.71,0.24
66,1141904,19716,4,-9.71,-0.74,-1.06,75.44,-3.13,-99.56,30.87,-21.5,24,-45.56,-82.31,-145.13,-9.31,1.89,-1.4,0.4,2.63,-0.34,-0.62,0.24,0.71,0.26
67,1159040,17132,4,-9.69,-1.07,-1.03,68.62,-4.06,-89.12,30.87,-21.5,24,-48.88,-81.25,-133.94,-9.25,2.98,-0.83,0.43,4.05,0.19,-0.61,0.23,0.71,0.28
68,1175980,16936,4,-9.67,-1.21,-1.01,61.5,-4.25,-83,32,-18.56,23.69,-51.63,-80.12,-126.31,-9.14,3.27,-0.38,0.51,4.62,0.61,-0.6,0.23,0.71,0.29
69,1184988,9004,4,-9.67,-1.21,-1.01,61.5,-4.25,-83,32,-18.56,23.69,-51.63,-80.12,-126.31,-9.14,3.27,-0.38,0.51,4.62,0.61,-0.6,0.23,0.71,0.29
70,1204944,19952,4,-9.62,-1.6,-0.95,41.63,-5.25,-70.12,32,-18.56,23.69,-53.94,-79,-120.81,-9.7,2.73,-0.21,-0.09,4.46,0.72,-0.6,0.22,0.71,0.31
71,1221888,16940,4,-9.58,-1.84,-0.91,30,-6.13,-73.25,32.25,-13.5,25.19,-56,-77.81,-116.37,-9.67,2.47,-0.42,-0.09,4.32,0.49,-0.59,0.22,0.71,0.32
72,1241644,19752,4,-9.53,-2.1,-0.88,19.06,-7.25,-77.31,32.25,-13.5,25.19,-57.94,-76.56,-112.75,-10.24,0.85,-0.62,-0.7,2.95,0.25,-0.59,0.21,0.71,0.33
73,1258740,17092,5,-9.48,-2.33,-0.83,22.37,-9.56,-67.06,32.25,-13.5,25.19,-59.69,-75.31,-109.69,-11.14,-0.58,-0.68,-1.65,1.74,0.15,-0.59,0.2,0.71,0.34
74,1275684,16940,5,-9.46,-2.43,-0.8,24.81,-11.63,-64.12,33.5,-10.38,24.87,-61.31,-74.25,-106.94,-10.83,0.15,-1.07,-1.39,2.69,-0.3,-0.58,0.2,0.71,0.35
75,1284796,9108,5,-9.46,-2.43,-0.8,24.81,-11.63,-64.12,33.5,-10.38,24.87,-61.31,-74.25,-106.94,-10.83,0.15,-1.07,-1.39,2.69,-0.3,-0.58,0.2,0.71,0.35
76,1304964,20164,7,-9.39,-2.72,-0.69,22.12,-20.06,-54.38,33.5,-10.38,24.87,-62.75,-73.31,-104.25,-10.72,0.43,-0.63,-1.34,3.24,0.01,-0.58,0.19,0.71,0.36
77,1322036,17068,9,-9.35,-2.89,-0.6,18.87,-23.12,-51.69,33.88,-7.88,24.06,-64.56,-72.44,-101.75,-10.45,0.94,-0.5,-1.1,3.83,0.09,-0.58,0.19,0.7,0.37
78,1341604,19560,10,-9.3,-3.03,-0.5,15.75,-24.87,-42.63,33.88,-7.88,24.06,-65.56,-71.62,-99.5,-10.04,1.92,-0.33,-0.73,4.96,0.17,-0.58,0.18,0.7,0.37
79,1358684,17076,13,-9.27,-3.14,-0.4,14.56,-28.31,-32.13,33.88,-7.88,24.06,-66.37,-71.06,-97.37,-10.84,3.18,-4.61,-1.56,6.33,-4.2,-0.58,0.18,0.7,0.38
80,1375668,16980,15,-9.26,-3.19,-0.36,5.38,-28.75,-30,35,-6.06,23,-67.06,-70.62,-95.37,-13.63,8.74,1.01,-4.38,11.98,1.31,-0.58,0.18,0.7,0.38
81,1384700,9028,15,-9.26,-3.19,-0.36,5.38,-28.75,-30,35,-6.06,23,-67.06,-70.62,-95.37,-13.63,8.74,1.01,-4.38,11.98,1.31,-0.58,0.18,0.7,0.38
82,1404712,20008,21,-9.25,-3.24,-0.22,-24.87,-30.37,0.75,35,-6.06,23,-66.56,-70.56,-93.94,-12.23,7.83,0.99,-2.97,11.07,1.18,-0.59,0.17,0.69,0.38
83,1421704,16988,26,-9.26,-3.2,-0.14,-20.69,-36.69,14.94,35.75,-4.5,22.56,-66.06,-70.87,-92.5,-12.08,6.14,4.05,-2.82,9.35,4.2,-0.59,0.17,0.69,0.38
84,1441428,19716,31,-9.3,-3.08,0.02,32.75,-50.31,50.69,35.75,-4.5,22.56,-65.31,-71.62,-89.5,-10.85,-0.19,1.42,-1.55,2.89,1.4,-0.6,0.17,0.68,0.38
