,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,19820,19808,0,-9.4,-2.78,-0.25,10.06,-15.88,-32.75,35.56,-11.56,31.87,-46.56,-73.12,-94.56,-10.41,-1.38,-1.24,-1.02,1.44,-1.01,0.64,-0.08,-0.71,-0.28
1,36732,16908,2,-9.37,-2.88,-0.19,8.88,-17.44,-30.87,35.56,-11.56,31.87,-46.88,-72.87,-93.81,-10.93,-1.38,-1.31,-2.15,1.62,-2.55,0.64,-0.08,-0.71,-0.28
2,56448,19712,3,-9.34,-2.97,-0.12,13.13,-19.37,-31.44,37.06,-9.69,31.06,-47.63,-72.25,-92.31,-11.98,-0.72,-2.82,-3.35,3.26,-1.75,0.64,-0.07,-0.71,-0.29
3,76344,19892,4,-9.3,-3.08,-0.03,12.25,-23.56,-32.69,37.06,-9.69,31.06,-48.38,-71.62,-90.69,-12.94,0.88,-1.13,-3.63,3.96,-1.09,0.64,-0.07,-0.7,-0.29
4,93008,16660,6,-9.27,-3.17,0.04,2.81,-26.69,-29.75,37.38,-7.5,29.06,-48.88,-71.06,-89.06,-11.49,1.43,-1.2,-2.22,4.61,-1.25,0.65,-0.07,-0.7,-0.29
5,113084,20072,8,-9.26,-3.21,0.09,-6.25,-31.94,-19.56,37.38,-7.5,29.06,-49.06,-70.62,-87.5,-11.23,2.98,1.23,-1.98,6.23,1.09,0.65,-0.06,-0.7,-0.3
6,130884,17796,11,-9.24,-3.27,0.18,-23.12,-33.81,-7,37.38,-7.5,29.06,-48.69,-70.37,-86.06,-10.62,3.33,1.34,-1.38,6.61,1.11,0.65,-0.06,-0.7,-0.3
7,147912,17024,14,-9.23,-3.28,0.25,-30.19,-31.81,1.19,38.19,-6.06,27.56,-48.31,-70.37,-85.5,-9.94,3.73,1.84,-0.7,7,1.55,0.66,-0.05,-0.69,-0.29
8,167732,19816,17,-9.24,-3.24,0.3,-47.81,-31,14.88,38.19,-6.06,27.56,-47.13,-70.5,-84.56,-9.47,2.96,2.61,-0.21,6.18,2.29,0.66,-0.05,-0.69,-0.28
9,184576,16840,22,-9.27,-3.16,0.33,-47.31,-23.75,34.06,38.19,-6.06,27.56,-45.56,-71,-83.87,-8.41,2.15,2.32,0.85,5.32,1.98,0.66,-0.05,-0.69,-0.28
10,203988,19408,26,-9.32,-3.01,0.34,-33.88,-12.44,54.56,39,-6.06,24.87,-43.81,-71.94,-83.44,-7.76,1.43,1.36,1.55,4.44,1.02,0.67,-0.05,-0.69,-0.27
11,224308,20316,31,-9.35,-2.91,0.34,-24.75,-6.25,75.25,39,-6.06,24.87,-41.94,-73.25,-82.94,-8.39,-0.52,-0.71,0.99,2.26,-1.06,0.67,-0.05,-0.69,-0.26
12,241184,16872,35,-9.43,-2.65,0.34,-19.75,-5.31,96.25,39.38,-7.5,24.06,-39.81,-75,-82.19,-9.67,-0.99,-1.14,-0.19,1.5,-1.48,0.68,-0.06,-0.69,-0.24
13,250148,8960,35,-9.43,-2.65,0.34,-19.75,-5.31,96.25,39.38,-7.5,24.06,-39.81,-75,-82.19,-9.67,-0.99,-1.14,-0.19,1.5,-1.48,0.68,-0.06,-0.69,-0.24
14,270324,20172,41,-9.55,-2.17,0.34,-25,-5.44,104.5,39.38,-7.5,24.06,-36.06,-77.94,-80.81,-12.4,-0.87,-2.59,-2.81,1.13,-2.91,0.68,-0.08,-0.69,-0.22
15,287260,16932,45,-9.62,-1.85,0.29,-44.31,10.81,96.75,39.38,-7.5,24.06,-34.75,-78.94,-81,-13.21,-4.1,-2.04,-3.55,-2.4,-2.29,0.69,-0.08,-0.69,-0.21
16,306780,19516,48,-9.68,-1.54,0.21,-45.81,16.31,97.94,38.69,-8.69,22.56,-32.06,-80.81,-82,-13,-5.05,-1.76,-2.93,-4.3,-2.1,0.69,-0.09,-0.69,-0.19
