,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36588,16852,27,-9.7,-1.32,-0.49,39.44,-24.62,-5.88,40.06,-12.0,10.5,-60.69,-81.69,-110.37,-9.55,0.16,-0.82,0.14,1.49,-0.33,-0.59,0.28,0.67,0.35
1,56432,19840,29,-9.7,-1.33,-0.39,35.5,-23.87,1.56,40.75,-12.38,10.06,-61.38,-81.81,-106.5,-8.83,1.84,-0.74,0.87,3.18,-0.34,-0.6,0.28,0.66,0.35
2,76356,19920,30,-9.71,-1.3,-0.31,21.31,-19.25,10.94,40.75,-12.38,10.06,-61.69,-82.06,-103.62,-8.61,2.23,-0.81,1.1,3.54,-0.49,-0.6,0.28,0.66,0.36
3,93188,16828,32,-9.72,-1.25,-0.26,3.94,-12.06,15.94,39.38,-12.0,9.25,-61.5,-82.44,-102.0,-8.95,2.38,-1.03,0.77,3.64,-0.76,-0.6,0.28,0.66,0.36
4,113192,20000,34,-9.72,-1.22,-0.25,-3.13,-9.56,18.56,39.38,-12.0,9.25,-61.0,-82.87,-101.44,-9.59,2.33,-1.2,0.13,3.52,-0.96,-0.6,0.29,0.66,0.35
5,131872,18676,37,-9.73,-1.14,-0.23,-14.88,-5.88,26.75,39.38,-12.0,9.25,-60.06,-83.44,-173.56,-10.1,1.68,-1.18,-0.35,2.78,-0.95,-0.6,0.29,0.66,0.35
6,148876,17000,39,-9.74,-1.03,-0.23,-24.94,-3.38,33.81,40.06,-11.56,8.56,-59.5,-83.75,-173.88,-10.1,1.51,-1.17,-0.05,2.5,-0.91,-0.61,0.29,0.66,0.34
7,168596,19716,41,-9.76,-0.91,-0.23,-33.13,-1.06,37.13,40.06,-11.56,8.56,-58.13,-84.44,-174.63,-9.67,1.49,-1.16,0.17,2.2,-0.89,-0.61,0.29,0.66,0.34
8,185284,16684,43,-9.77,-0.78,-0.25,-40.81,3.06,40.25,40.06,-11.56,8.56,-56.63,-85.19,-175.38,-9.51,1.23,-1.11,0.25,2.01,-0.85,-0.61,0.29,0.66,0.33
9,194264,8976,43,-9.77,-0.78,-0.25,-40.81,3.06,40.25,40.06,-11.56,8.56,-56.63,-85.19,-175.38,-9.51,1.23,-1.11,0.25,2.01,-0.85,-0.61,0.29,0.66,0.33
10,214164,19896,45,-9.78,-0.63,-0.29,-57.44,16.06,49.88,38.56,-12.69,8.56,-53.81,-86.25,-176.75,-8.89,0.23,-1.46,0.89,0.79,-1.13,-0.62,0.29,0.66,0.31
11,232092,17924,47,-9.78,-0.45,-0.36,-59.56,17.62,56.69,38.56,-12.69,8.56,-51.5,-86.87,-177.88,-12.22,-1.68,-2.14,-2.43,-1.32,-1.75,-0.62,0.29,0.66,0.3
12,249056,16960,47,-9.79,-0.26,-0.42,-55.0,14.69,55.19,37.56,-14.88,9.0,-50.44,-87.06,-178.44,-11.86,-1.35,-1.75,-2.07,-1.18,-1.31,-0.63,0.29,0.66,0.29
13,269068,20008,47,-9.79,-0.06,-0.44,-51.19,3.38,59.69,37.56,-14.88,9.0,-48.31,-87.31,-179.56,-9.33,-0.09,-1.44,0.46,-0.13,-0.99,-0.63,0.29,0.66,0.28
14,285924,16848,47,-9.79,0.17,-0.44,-51.94,-1.63,75.37,37.56,-14.88,9.0,-45.88,-87.19,178.94,-9.32,0.08,-1.4,0.47,-0.09,-0.96,-0.64,0.29,0.66,0.27
15,294876,8948,47,-9.79,0.17,-0.44,-51.94,-1.63,75.37,37.56,-14.88,9.0,-45.88,-87.19,178.94,-9.32,0.08,-1.4,0.47,-0.09,-0.96,-0.64,0.29,0.66,0.27
16,314872,19992,46,-9.78,0.46,-0.42,-52.5,-5.25,92.37,36.38,-16.0,9.25,-41.75,-85.62,176.31,-10.05,1.01,-1.62,-0.27,0.39,-1.21,-0.65,0.3,0.66,0.25
