,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36152,19396,21,-9.23,3.3,0.13,-23.75,-4.56,40.19,45.25,1.75,-4.88,-188.44,-70.25,87.62,-8.47,2.68,-0.02,0.76,-0.61,-0.15,0.05,0.64,-0.28,0.71
1,52932,16776,19,-9.18,3.42,0.16,-17.19,-3.44,37.06,45.25,1.75,-4.88,-187.38,-69.5,87.19,-8.4,2.33,-0.07,0.78,-1.08,-0.24,0.05,0.64,-0.29,0.71
2,69688,16752,17,-9.16,3.47,0.18,-12.13,-3.63,34.38,46.06,-0.06,-5.56,-186.19,-68.87,86.87,-8.19,2.81,0.05,0.95,-0.71,-0.13,0.04,0.64,-0.29,0.71
3,89416,19724,16,-9.13,3.56,0.19,-4.0,-1.63,26.75,46.06,-0.06,-5.56,-185.69,-68.37,86.87,-8.17,3.49,-0.08,0.94,-0.1,-0.28,0.04,0.64,-0.29,0.71
4,106152,16732,14,-9.1,3.62,0.19,-2.69,1.5,18.62,46.06,-0.06,-5.56,-185.44,-68.19,86.87,-8.13,3.77,-0.16,0.97,0.14,-0.36,0.03,0.64,-0.29,0.71
5,125072,18916,13,-9.09,3.67,0.18,-1.44,5.19,13.56,45.25,-1.5,-5.56,-184.69,-67.94,87.12,-8.06,3.88,0.03,1.02,0.21,-0.14,0.03,0.64,-0.29,0.71
6,145396,20320,12,-9.08,3.69,0.17,0.44,7.94,7.56,45.25,-1.5,-5.56,-184.5,-67.75,87.44,-8.09,4.35,0.24,0.98,0.65,0.08,0.03,0.64,-0.29,0.71
7,161980,16580,11,-9.07,3.7,0.14,1.69,12.06,3.69,47.56,-1.75,-4.88,-183.75,-67.69,88.0,-8.08,4.91,0.25,0.98,1.19,0.12,0.02,0.64,-0.29,0.71
8,181932,19948,11,-9.07,3.71,0.1,2.13,14.81,2.44,47.56,-1.75,-4.88,-183.63,-67.69,88.81,-8.12,5.16,0.25,0.94,1.44,0.17,0.02,0.64,-0.29,0.71
9,200820,18884,11,-9.07,3.71,0.04,0.81,20.81,-1.19,47.56,-1.75,-4.88,-183.56,-67.75,89.87,-8.24,4.92,-0.15,0.83,1.21,-0.15,0.02,0.65,-0.29,0.71
10,217584,16760,11,-9.08,3.69,-0.03,-3.94,26.25,-12.19,47.06,-2.5,-3.75,-182.94,-67.87,90.5,-8.34,5.07,-0.25,0.29,1.87,0.01,0.02,0.65,-0.28,0.7
11,237244,19656,11,-9.11,3.61,-0.1,-18.12,29.56,-31.19,47.06,-2.5,-3.75,-182.94,-68.37,91.62,-9.95,6.25,0.46,-4.52,4.62,1.86,0.02,0.66,-0.28,0.7
12,253920,16672,11,-9.16,3.48,-0.16,-36.94,31.94,-43.5,47.06,-2.5,-3.75,-182.94,-69.12,92.62,-15.53,8.91,1.36,-6.37,5.43,1.52,0.02,0.66,-0.27,0.7
13,271056,17132,11,-9.18,3.41,-0.19,-56.75,39.69,-45.25,47.06,-1.69,-2.56,-181.56,-69.94,93.56,-9.63,6.05,-1.0,-0.42,2.7,-0.79,0.01,0.67,-0.25,0.7
14,291084,20024,12,-9.23,3.28,-0.22,-104.62,44.63,-41.31,47.06,-1.69,-2.56,-179.94,-70.56,94.12,-7.27,-0.66,-3.1,1.97,-3.91,-2.86,0.0,0.68,-0.24,0.7
15,308064,16976,13,-9.26,3.2,-0.26,-92.06,48.25,-29.62,47.06,-1.69,-2.56,-179.19,-70.81,94.69,-7.95,-7.48,-2.22,1.32,-10.63,-1.92,-0.01,0.68,-0.22,0.7
16,317108,9040,13,-9.26,3.2,-0.26,-92.06,48.25,-29.62,47.06,-1.69,-2.56,-179.19,-70.81,94.69,-7.95,-7.48,-2.22,1.32,-10.63,-1.92,-0.01,0.68,-0.22,0.7
17,336824,19712,13,-9.32,3.0,-0.41,1.56,38.63,-52.56,48.5,-0.19,-1.5,-178.63,-71.94,97.87,-10.98,-5.77,-2.29,-1.66,-8.77,-1.88,0.0,0.69,-0.21,0.69
18,353520,16692,13,-9.37,2.83,-0.55,38.38,32.0,-49.0,48.5,-0.19,-1.5,-180.0,-72.81,100.94,-9.91,-0.56,-1.25,-0.54,-3.39,-0.7,0.0,0.7,-0.21,0.69
19,370464,16940,13,-9.39,2.75,-0.62,48.0,32.0,-48.25,48.19,2.0,0.06,-181.13,-73.62,104.62,-9.37,1.65,-0.75,0.03,-1.01,-0.05,0.01,0.7,-0.21,0.68
20,390672,20204,13,-9.43,2.57,-0.76,41.44,31.06,-53.94,48.19,2.0,0.06,-182.75,-74.44,108.37,-9.71,1.81,-1.54,-0.26,-0.67,-0.72,0.02,0.71,-0.2,0.68
21,407536,16860,13,-9.46,2.4,-0.88,30.44,29.44,-51.25,48.19,2.0,0.06,-183.44,-74.81,110.25,-9.74,1.99,-1.99,0.1,-0.94,-1.99,0.02,0.71,-0.2,0.67
22,426464,18924,13,-9.49,2.23,-1.0,21.19,31.44,-51.56,48.5,3.38,1.19,-184.25,-75.5,114.19,-9.46,0.84,-3.27,0.03,-1.38,-2.26,0.03,0.72,-0.19,0.67
23,446372,19904,13,-9.52,2.05,-1.12,19.62,31.19,-51.0,48.5,3.38,1.19,-185.56,-76.12,118.5,-9.65,0.88,-3.05,-0.13,-1.17,-1.93,0.04,0.72,-0.19,0.66
24,463040,16664,13,-9.54,1.88,-1.22,12.5,29.06,-50.44,48.5,6.25,3.06,-186.06,-76.69,122.94,-9.67,1.13,-2.09,-0.12,-0.75,-0.86,0.04,0.73,-0.18,0.66
25,482956,19912,13,-9.55,1.8,-1.27,7.44,28.25,-51.88,48.5,6.25,3.06,-187.13,-77.19,127.5,-10.05,-0.21,-1.72,-0.48,-1.93,-0.4,0.04,0.73,-0.18,0.66
26,500912,17952,13,-9.57,1.62,-1.36,11.38,28.5,-61.0,48.5,6.25,3.06,-188.38,-77.69,132.94,-9.85,0.0,-2.16,-0.27,-1.51,-0.74,0.05,0.74,-0.17,0.65
27,517656,16740,12,-9.59,1.42,-1.46,16.19,27.87,-58.81,47.88,8.75,3.88,-188.5,-77.94,135.88,-9.96,-1.04,-2.34,-0.45,-2.57,-0.87,0.05,0.74,-0.16,0.65
28,537420,19760,12,-9.6,1.21,-1.56,30.75,24.87,-62.19,47.88,8.75,3.88,-190.25,-78.31,142.19,-10.07,-0.79,-2.33,-0.27,-1.25,-0.6,0.06,0.75,-0.16,0.64
29,554148,16724,11,-9.61,0.98,-1.65,38.94,22.44,-61.88,47.88,8.75,3.88,-192.25,-78.62,149.06,-9.67,0.99,-2.04,-0.05,0.0,-0.39,0.07,0.75,-0.16,0.64
30,572000,17848,11,-9.61,0.87,-1.69,33.06,23.12,-61.88,48.25,11.38,5.75,-193.5,-78.81,156.13,-9.66,1.68,-2.23,-0.04,0.91,-0.49,0.08,0.75,-0.15,0.64
31,592372,20368,10,-9.62,0.65,-1.77,28.69,23.0,-61.13,48.25,11.38,5.75,-195.25,-78.81,163.0,-9.78,0.91,-2.55,-0.16,0.36,-0.73,0.09,0.76,-0.15,0.63
32,609304,16928,10,-9.61,0.45,-1.85,23.06,22.06,-58.44,48.25,11.38,5.75,-196.38,-78.62,169.44,-9.73,0.64,-2.49,-0.12,0.29,-0.6,0.09,0.76,-0.14,0.63
33,628520,19212,10,-9.61,0.25,-1.92,22.69,20.5,-56.63,47.5,14.25,5.75,-198.0,-78.37,175.5,-9.66,0.28,-2.55,-0.05,0.13,-0.59,0.1,0.76,-0.13,0.62
34,637512,8980,10,-9.61,0.25,-1.92,22.69,20.5,-56.63,47.5,14.25,5.75,-198.0,-78.37,175.5,-9.66,0.28,-2.55,-0.05,0.13,-0.59,0.1,0.76,-0.13,0.62
35,654348,16832,9,-9.59,-0.03,-2.02,27.12,20.06,-52.31,47.5,14.25,5.75,-199.63,-78.06,-178.94,-9.79,0.09,-2.11,-0.2,0.13,-0.08,0.11,0.77,-0.13,0.62
36,672988,18636,9,-9.58,-0.12,-2.05,28.94,19.31,-50.0,47.25,17.19,7.25,-200.63,-77.62,-173.94,-9.72,0.23,-1.99,-0.14,0.45,0.09,0.11,0.77,-0.12,0.62
37,693136,20144,9,-9.56,-0.31,-2.11,30.44,19.31,-47.75,47.25,17.19,7.25,-202.31,-77.06,-169.44,-9.77,-0.16,-1.97,-0.21,0.23,0.17,0.12,0.77,-0.12,0.61
38,710020,16880,9,-9.54,-0.48,-2.17,31.75,20.5,-47.19,45.19,18.56,7.25,-203.44,-76.5,-165.44,-9.97,-0.4,-2.4,-0.43,0.16,-0.19,0.13,0.77,-0.11,0.61
39,730252,20228,9,-9.52,-0.66,-2.24,35.75,22.81,-46.13,45.19,18.56,7.25,-205.31,-75.81,-161.69,-10.41,-0.58,-2.47,-0.9,0.16,-0.2,0.14,0.78,-0.11,0.6
40,749520,19264,9,-9.49,-0.84,-2.3,38.44,21.69,-48.63,45.19,18.56,7.25,-207.25,-75.12,-158.0,-10.64,-0.87,-2.11,-1.17,0.06,0.21,0.15,0.78,-0.11,0.6
41,766492,16968,9,-9.46,-1.03,-2.35,44.44,18.94,-49.81,44.5,20.75,7.69,-207.75,-74.75,-156.19,-10.14,-0.64,-1.91,-0.34,1.03,0.46,0.15,0.78,-0.1,0.6
42,786176,19680,9,-9.42,-1.23,-2.39,46.56,18.87,-51.06,44.5,20.75,7.69,-209.94,-74.0,-152.69,-9.42,0.48,-1.99,0.09,2.85,0.18,0.16,0.78,-0.1,0.59
43,802820,16640,9,-9.38,-1.44,-2.44,41.06,20.44,-54.44,44.5,20.75,7.69,-212.13,-73.12,-149.38,-9.6,1.73,-2.28,-0.21,3.17,0.16,0.17,0.78,-0.1,0.59
44,819724,16900,9,-9.36,-1.54,-2.46,37.81,20.44,-56.69,41.88,23.56,7.69,-213.56,-72.25,-146.31,-10.05,1.76,-2.11,-0.71,3.42,0.37,0.18,0.79,-0.09,0.58
45,839828,20100,9,-9.31,-1.76,-2.5,32.13,17.75,-60.63,41.88,23.56,7.69,-215.63,-71.31,-143.31,-9.96,1.47,-1.82,-0.67,3.34,0.69,0.19,0.79,-0.09,0.58
46,856828,16996,10,-9.26,-1.98,-2.53,33.13,14.38,-61.81,41.88,23.56,7.69,-216.69,-70.81,-141.88,-9.94,1.66,-1.81,-0.02,5.08,0.48,0.19,0.79,-0.08,0.58
47,875956,19124,12,-9.21,-2.18,-2.54,35.0,12.75,-44.75,42.0,26.19,7.69,-218.0,-69.94,-139.38,-9.27,6.78,-2.35,-0.91,3.9,0.98,0.2,0.79,-0.08,0.57
48,895856,19896,14,-9.18,-2.26,-2.56,31.75,14.0,-19.31,42.0,26.19,7.69,-219.31,-69.5,-138.5,-11.4,5.09,-3.43,-2.21,7.36,-0.87,0.21,0.79,-0.08,0.57
49,912632,16772,17,-9.17,-2.3,-2.58,23.5,11.06,4.31,39.75,28.25,7.25,-219.56,-69.25,-138.31,-13.66,7.64,-0.66,-4.49,9.94,1.91,0.21,0.79,-0.08,0.57
50,932712,20076,20,-9.17,-2.28,-2.58,10.56,-4.25,21.56,39.75,28.25,7.25,-219.5,-69.5,-138.75,-12.95,5.16,0.81,-3.76,7.42,3.39,0.21,0.79,-0.08,0.57
