,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36648,16876,26,-8.82,4.15,1.01,-161.94,81.25,72.56,40.69,-6.0,-7.06,-138.5,-64.12,76.25,-4.96,-18.44,2.61,3.85,-22.6,1.59,0.26,-0.67,0.05,-0.69
1,56716,20064,27,-8.88,4.06,0.87,-65.0,82.37,-23.5,42.19,-2.56,-3.69,-136.38,-64.87,77.81,1.16,-20.93,-5.27,10.04,-24.99,-6.14,0.27,-0.67,0.03,-0.69
2,76940,20220,28,-8.92,4.01,0.63,71.56,52.81,-36.25,42.19,-2.56,-3.69,-136.94,-65.5,80.94,-13.38,-7.41,-5.0,-4.45,-11.42,-5.64,0.27,-0.68,0.03,-0.68
3,93676,16732,28,-9.01,3.83,0.39,97.31,38.13,-57.31,42.56,-2.5,-0.37,-139.56,-66.87,84.06,-24.87,2.01,-5.78,-15.85,-1.81,-6.18,0.25,-0.69,0.03,-0.68
4,113944,20264,28,-9.04,3.79,0.27,88.0,45.38,-28.69,42.56,-2.5,-0.37,-141.13,-67.5,87.56,-5.55,5.25,-2.1,3.5,1.51,-2.26,0.24,-0.7,0.04,-0.67
5,132456,18508,28,-9.08,3.68,0.05,45.94,48.0,-43.44,42.56,-2.5,-0.37,-142.38,-68.44,90.56,-4.7,4.89,-1.34,4.42,1.3,-1.31,0.23,-0.71,0.03,-0.67
6,149328,16864,27,-9.16,3.49,-0.11,-0.25,52.0,-67.37,44.19,-0.19,1.06,-142.81,-69.12,91.87,-11.83,4.55,0.15,-2.62,1.18,0.34,0.22,-0.71,0.02,-0.66
7,168996,19664,26,-9.25,3.24,-0.26,-34.56,59.94,-80.94,44.19,-0.19,1.06,-143.5,-70.56,94.62,-10.92,3.6,-0.51,-0.04,-2.59,-1.42,0.22,-0.72,0.01,-0.66
8,185708,16708,25,-9.32,2.99,-0.41,-27.44,58.88,-81.37,44.19,-0.19,1.06,-144.06,-72.0,97.94,-9.04,-0.48,-2.12,0.28,-3.48,-1.7,0.21,-0.72,0.0,-0.66
9,203800,18088,24,-9.36,2.85,-0.5,-8.13,56.0,-89.5,44.19,2.0,3.69,-145.19,-73.5,102.12,-9.09,0.18,-2.19,0.3,-2.53,-1.6,0.21,-0.73,-0.02,-0.65
10,224108,20304,23,-9.43,2.57,-0.67,-0.5,54.13,-87.87,44.19,2.0,3.69,-146.63,-74.87,107.25,-9.82,0.28,-1.08,-0.35,-2.15,-0.32,0.19,-0.73,-0.03,-0.65
