,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,34372,16964,9,-9.37,-2.84,-0.51,43.75,-29.62,-60.63,57.0,-21.37,-3.06,-62.25,-72.81,-100.25,-10.76,-2.97,0.61,-1.42,-0.01,1.05,-0.59,0.18,0.7,0.36
1,54208,19832,9,-9.3,-3.07,-0.36,48.0,-33.5,-71.62,57.0,-21.37,-3.06,-64.31,-71.56,-96.75,-11.99,0.4,-0.21,-2.72,3.59,0.07,-0.59,0.17,0.7,0.38
2,71000,16788,10,-9.23,-3.29,-0.21,33.81,-34.5,-70.37,57.0,-21.37,-3.06,-66.19,-70.25,-93.69,-13.23,4.15,0.38,-3.99,7.45,0.6,-0.59,0.17,0.7,0.38
3,90180,19176,12,-9.16,-3.49,-0.1,2.88,-28.87,-58.81,57.5,-18.37,-2.69,-67.37,-69.06,-91.69,-12.01,6.2,0.42,-2.85,9.69,0.52,-0.59,0.16,0.69,0.39
4,99120,8936,12,-9.16,-3.49,-0.1,2.88,-28.87,-58.81,57.5,-18.37,-2.69,-67.37,-69.06,-91.69,-12.01,6.2,0.42,-2.85,9.69,0.52,-0.59,0.16,0.69,0.39
5,116904,17780,17,-9.1,-3.64,-0.07,-46.38,-14.81,-36.56,57.5,-18.37,-2.69,-67.69,-67.81,-91.12,-11.47,4.23,-1.16,-2.39,7.93,-1.08,-0.58,0.14,0.7,0.39
6,133828,16920,20,-9.06,-3.74,-0.09,-58.81,-13.25,-30.0,57.06,-14.75,-0.37,-67.37,-67.5,-91.37,-12.81,1.48,-0.01,-3.76,5.25,0.09,-0.59,0.13,0.7,0.39
7,153580,19744,24,-9.04,-3.78,-0.12,-43.5,-10.0,-7.75,57.06,-14.75,-0.37,-66.69,-67.25,-91.81,-11.91,1.67,-0.26,-2.86,5.45,-0.13,-0.59,0.13,0.7,0.38
8,170492,16908,29,-9.05,-3.76,-0.12,-8.31,-7.25,10.94,57.06,-14.75,-0.37,-66.12,-67.37,-91.81,-10.4,2.28,-1.04,-1.34,6.04,-0.92,-0.59,0.13,0.7,0.38
9,179444,8948,29,-9.05,-3.76,-0.12,-8.31,-7.25,10.94,57.06,-14.75,-0.37,-66.12,-67.37,-91.81,-10.4,2.28,-1.04,-1.34,6.04,-0.92,-0.59,0.13,0.7,0.38
