,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36676,19980,16,-9.26,3.21,-0.16,74.5,21.19,77.31,25.0,-32.5,19.19,-21.81,-70.19,94.37,-7.43,2.32,-2.97,1.79,-0.98,-2.71,-0.69,0.37,0.62,0.13
1,55348,18668,13,-9.19,3.39,-0.35,114.0,21.31,58.38,25.0,-32.5,19.19,-22.87,-69.06,97.5,-8.7,4.42,-2.69,0.45,0.95,-2.23,-0.68,0.39,0.61,0.14
2,72228,16876,11,-9.13,3.52,-0.56,125.94,21.44,44.19,21.25,-35.19,21.0,-23.56,-68.62,99.06,-9.62,4.61,-1.73,-0.81,1.38,1.23,-0.67,0.4,0.61,0.14
3,91984,19752,10,-9.09,3.58,-0.78,112.94,26.12,22.5,21.25,-35.19,21.0,-25.06,-68.0,102.25,-9.76,6.33,1.15,-0.32,4.06,2.1,-0.66,0.42,0.61,0.15
4,108668,16680,10,-9.07,3.58,-0.98,88.69,30.75,3.06,21.25,-35.19,21.0,-26.56,-67.69,105.44,-9.1,8.52,0.84,-0.03,4.94,1.83,-0.65,0.42,0.61,0.15
5,117600,8928,10,-9.07,3.58,-0.98,88.69,30.75,3.06,21.25,-35.19,21.0,-26.56,-67.69,105.44,-9.1,8.52,0.84,-0.03,4.94,1.83,-0.65,0.42,0.61,0.15
6,137684,20080,11,-9.08,3.51,-1.15,26.94,27.25,-40.94,20.06,-33.75,26.0,-28.37,-68.06,109.37,-10.44,7.48,1.14,-1.34,4.04,2.36,-0.64,0.43,0.61,0.16
7,155684,17996,12,-9.12,3.36,-1.24,-40.13,16.0,-62.44,20.06,-33.75,26.0,-28.87,-69.0,110.81,-11.19,5.76,2.61,-2.04,2.48,3.86,-0.64,0.42,0.62,0.16
8,172644,16956,12,-9.19,3.19,-1.21,-73.87,6.25,-64.5,19.37,-32.5,29.5,-28.69,-69.56,110.87,-21.86,14.9,11.29,-12.64,11.77,12.47,-0.64,0.41,0.63,0.16
9,192632,19984,12,-9.24,3.09,-1.08,-108.31,-20.19,-29.62,19.37,-32.5,29.5,-27.5,-70.44,109.25,-13.69,14.78,1.7,-4.43,11.7,2.64,-0.65,0.39,0.63,0.15
10,209784,17148,14,-9.3,3.0,-0.8,-262.19,-4.19,-72.19,19.37,-32.5,29.5,-24.0,-71.5,105.0,-11.65,8.0,-1.99,-2.35,5.0,-1.19,-0.66,0.37,0.64,0.14
11,229460,19672,16,-9.36,2.82,-0.61,-248.0,26.81,-65.5,21.56,-32.88,28.37,-20.19,-72.81,102.25,-7.25,-9.56,-5.45,2.11,-12.39,-4.83,-0.67,0.33,0.65,0.12
12,249412,19948,17,-9.4,2.71,-0.55,-153.25,36.25,-49.5,21.56,-32.88,28.37,-17.37,-73.56,101.5,-5.79,-17.16,-7.77,3.6,-19.87,-7.22,-0.68,0.3,0.66,0.1
13,266308,16892,17,-9.46,2.49,-0.61,-38.94,35.44,-73.81,23.0,-34.38,19.75,-17.19,-74.75,103.75,-9.61,-15.79,-5.97,-0.15,-18.29,-5.35,-0.68,0.29,0.67,0.1
14,286548,20236,16,-9.48,2.39,-0.66,30.62,22.06,-60.75,23.0,-34.38,19.75,-19.44,-75.75,107.0,-12.95,-8.47,-0.25,-3.44,-10.77,0.45,-0.67,0.29,0.67,0.12
15,305192,18640,15,-9.53,2.17,-0.73,142.44,-11.13,-65.69,23.0,-34.38,19.75,-24.12,-77.19,110.81,-12.1,-0.23,1.63,-2.53,-2.26,2.4,-0.66,0.3,0.67,0.14
16,322256,17056,13,-9.59,1.85,-0.79,168.56,-18.87,-87.94,24.37,-34.0,19.75,-26.75,-78.06,113.12,-11.01,5.26,0.46,-1.39,3.57,1.25,-0.66,0.31,0.67,0.17
17,342184,19924,12,-9.65,1.52,-0.78,117.44,-28.44,-94.31,24.37,-34.0,19.75,-31.37,-79.94,117.19,-8.31,6.5,-2.17,1.36,5.15,-1.4,-0.65,0.31,0.67,0.19
18,359188,17000,11,-9.7,1.19,-0.76,41.38,-6.19,-94.81,24.37,-34.0,19.75,-34.56,-81.69,122.75,-7.44,5.06,-3.61,2.26,3.87,-2.85,-0.65,0.3,0.67,0.2
19,368176,8984,11,-9.7,1.19,-0.76,41.38,-6.19,-94.81,24.37,-34.0,19.75,-34.56,-81.69,122.75,-7.44,5.06,-3.61,2.26,3.87,-2.85,-0.65,0.3,0.67,0.2
20,388220,20040,10,-9.72,0.92,-0.79,-18.25,12.88,-66.12,27.37,-30.0,24.37,-36.44,-83.19,175.13,-10.29,0.38,-1.73,-0.55,-0.43,-0.91,-0.64,0.29,0.68,0.21
21,405812,17584,9,-9.74,0.71,-0.82,-8.25,-0.44,-64.25,27.37,-30.0,24.37,-37.5,-83.94,176.38,-10.67,1.42,-0.58,-0.92,0.81,0.24,-0.64,0.28,0.68,0.22
22,422660,16844,9,-9.75,0.5,-0.81,-4.63,-5.94,-64.56,28.75,-27.06,23.56,-38.06,-84.31,177.0,-9.18,2.78,-0.94,0.57,2.38,-0.13,-0.64,0.27,0.68,0.22
23,442284,19620,8,-9.76,0.3,-0.79,3.0,-5.06,-60.63,28.75,-27.06,23.56,-39.25,-85.0,178.19,-9.33,2.03,-1.04,0.44,1.82,-0.25,-0.64,0.27,0.69,0.23
24,459084,16796,8,-9.77,0.09,-0.79,9.06,-1.37,-65.87,28.75,-27.06,23.56,-40.63,-85.31,179.44,-9.46,1.37,-1.08,0.31,1.28,-0.29,-0.64,0.26,0.69,0.24
25,467988,8900,8,-9.77,0.09,-0.79,9.06,-1.37,-65.87,28.75,-27.06,23.56,-40.63,-85.31,179.44,-9.46,1.37,-1.08,0.31,1.28,-0.29,-0.64,0.26,0.69,0.24
26,487952,19960,8,-9.77,-0.13,-0.78,16.62,-3.13,-65.62,32.88,-24.5,23.56,-43.13,-85.19,-178.5,-9.82,1.99,-1.0,-0.04,2.24,-0.22,-0.63,0.25,0.69,0.25
27,505588,17632,8,-9.76,-0.35,-0.77,12.75,-2.38,-62.38,32.88,-24.5,23.56,-44.63,-84.75,-177.25,-9.66,-0.06,-0.81,0.1,0.39,-0.04,-0.63,0.25,0.69,0.26
28,522476,16884,8,-9.76,-0.56,-0.76,12.31,-2.5,-61.31,33.69,-23.06,24.0,-46.06,-84.06,-176.06,-9.58,-1.75,-0.89,0.16,-1.08,-0.14,-0.63,0.24,0.69,0.27
29,542272,19788,7,-9.74,-0.77,-0.74,14.94,-3.94,-62.38,33.69,-23.06,24.0,-46.81,-83.69,-175.44,-9.74,-2.21,-1.1,0.0,-1.33,-0.37,-0.62,0.23,0.69,0.27
30,559108,16832,7,-9.72,-0.99,-0.72,22.56,-5.94,-68.25,33.69,-23.06,24.0,-48.5,-82.75,-125.94,-9.85,-2.38,-1.18,-0.12,-1.38,-0.46,-0.62,0.23,0.7,0.28
31,568116,9004,7,-9.72,-0.99,-0.72,22.56,-5.94,-68.25,33.69,-23.06,24.0,-48.5,-82.75,-125.94,-9.85,-2.38,-1.18,-0.12,-1.38,-0.46,-0.62,0.23,0.7,0.28
32,588256,20136,6,-9.7,-1.24,-0.68,36.44,-7.81,-81.81,35.19,-20.87,23.19,-51.69,-80.94,-115.69,-10.05,-2.1,-1.42,-0.36,-0.71,-0.76,-0.61,0.22,0.7,0.3
33,605572,17312,5,-9.66,-1.52,-0.64,44.94,-9.81,-87.37,35.19,-20.87,23.19,-54.25,-79.5,-110.12,-9.88,1.07,-1.44,-0.23,2.74,-0.82,-0.61,0.22,0.7,0.31
34,622372,16796,5,-9.61,-1.82,-0.58,47.63,-9.75,-86.31,35.75,-18.37,24.37,-55.5,-78.69,-107.81,-10.03,2.79,-1.1,-0.43,4.75,-0.54,-0.6,0.21,0.7,0.33
35,642204,19828,5,-9.56,-2.08,-0.52,44.25,-9.81,-76.69,35.75,-18.37,24.37,-57.94,-77.31,-104.0,-10.3,2.06,-1.07,-0.76,4.28,-0.58,-0.6,0.21,0.69,0.34
36,659140,16932,5,-9.51,-2.33,-0.45,39.56,-11.38,-74.75,35.75,-18.37,24.37,-60.13,-75.94,-101.06,-10.28,2.04,-1.0,-0.77,4.37,-0.54,-0.6,0.2,0.69,0.35
37,668212,9068,5,-9.51,-2.33,-0.45,39.56,-11.38,-74.75,35.75,-18.37,24.37,-60.13,-75.94,-101.06,-10.28,2.04,-1.0,-0.77,4.37,-0.54,-0.6,0.2,0.69,0.35
38,688332,20116,5,-9.45,-2.58,-0.38,37.69,-12.44,-77.19,37.25,-15.19,24.37,-63.38,-73.75,-97.37,-10.48,1.33,-0.38,-1.06,4.04,-0.02,-0.59,0.19,0.69,0.36
39,705544,17208,6,-9.34,-2.96,-0.26,36.06,-18.0,-77.31,37.25,-15.19,24.37,-65.5,-72.31,-95.12,-11.51,0.53,0.0,-2.17,3.49,0.27,-0.59,0.19,0.69,0.38
40,722448,16900,7,-9.3,-3.08,-0.21,35.19,-22.44,-77.94,39.56,-11.5,24.75,-67.44,-70.87,-92.69,-11.37,1.25,-0.14,-2.1,4.45,0.0,-0.58,0.18,0.69,0.39
41,742164,19712,8,-9.22,-3.31,-0.08,31.81,-33.75,-72.12,39.56,-11.5,24.75,-69.12,-69.5,-90.06,-13.65,3.02,-0.78,-4.46,6.44,-0.78,-0.58,0.17,0.69,0.4
42,758936,16768,10,-9.14,-3.53,0.06,13.81,-43.19,-69.69,39.56,-11.5,24.75,-69.75,-68.81,-88.87,-14.35,3.97,0.96,-5.21,7.51,0.9,-0.58,0.16,0.68,0.41
43,767964,9024,10,-9.14,-3.53,0.06,13.81,-43.19,-69.69,39.56,-11.5,24.75,-69.75,-68.81,-88.87,-14.35,3.97,0.96,-5.21,7.51,0.9,-0.58,0.16,0.68,0.41
44,788048,20080,15,-9.06,-3.72,0.18,-15.88,-36.69,-45.69,39.88,-7.88,23.19,-70.81,-67.12,-86.44,-12.12,3.83,-0.8,-3.08,7.63,-1.03,-0.58,0.15,0.68,0.41
45,805312,17260,20,-8.99,-3.89,0.31,-28.12,-37.94,-26.31,39.88,-7.88,23.19,-70.69,-66.5,-85.31,-12.2,3.97,0.16,-3.21,7.86,-0.15,-0.59,0.14,0.68,0.42
46,822552,17236,24,-8.97,-3.92,0.35,-26.37,-34.44,-19.87,41.06,-4.88,21.25,-70.44,-66.12,-84.25,-11.49,-1.16,0.6,-2.52,2.78,0.21,-0.59,0.14,0.68,0.42
47,842784,20228,28,-8.96,-3.94,0.45,24.0,-27.75,0.31,41.06,-4.88,21.25,-70.75,-66.25,-82.37,-7.69,0.64,-2.98,1.28,4.55,-3.5,-0.59,0.14,0.67,0.42
48,859580,16788,33,-8.99,-3.85,0.58,65.19,-14.5,33.19,41.06,-4.88,21.25,-70.94,-66.5,-81.31,-7.53,2.15,-1.35,1.46,6.01,-1.94,-0.59,0.15,0.67,0.42
49,878948,19364,37,-9.07,-3.65,0.71,39.19,-28.5,72.81,41.19,-4.56,19.0,-70.31,-67.62,-78.87,-8.66,0.93,1.37,0.4,4.59,0.66,-0.6,0.16,0.66,0.42
50,887860,8908,37,-9.07,-3.65,0.71,39.19,-28.5,72.81,41.19,-4.56,19.0,-70.31,-67.62,-78.87,-8.66,0.93,1.37,0.4,4.59,0.66,-0.6,0.16,0.66,0.42
51,904996,17132,44,-9.17,-3.37,0.75,-11.88,20.06,90.81,41.19,-4.56,19.0,-67.75,-70.19,-77.5,-10.25,-2.55,0.88,-1.02,0.68,0.16,-0.61,0.17,0.66,0.41
52,921780,16780,48,-9.28,-3.09,0.65,-20.87,31.0,90.06,40.75,-4.19,19.25,-65.81,-72.06,-78.69,-10.36,-4.81,0.81,-1.02,-1.85,0.22,-0.61,0.18,0.66,0.4
53,941632,19848,50,-9.38,-2.8,0.52,-17.25,35.63,98.69,40.75,-4.19,19.25,-64.81,-73.06,-79.31,-10.35,-5.58,-0.71,-0.92,-2.94,-1.17,-0.61,0.19,0.66,0.38
54,958556,16920,53,-9.48,-2.46,0.39,-7.06,38.25,105.94,40.75,-4.19,19.25,-62.81,-75.19,-80.81,-10.27,-4.36,-0.94,-0.79,-1.89,-1.34,-0.62,0.2,0.66,0.38
55,967596,9036,53,-9.48,-2.46,0.39,-7.06,38.25,105.94,40.75,-4.19,19.25,-62.81,-75.19,-80.81,-10.27,-4.36,-0.94,-0.79,-1.89,-1.34,-0.62,0.2,0.66,0.38
56,987576,19976,54,-9.57,-2.11,0.26,-19.31,41.56,119.37,40.06,-4.88,18.56,-59.38,-78.62,-84.31,-8.51,-2.74,-1.21,1.1,-0.83,-1.4,-0.62,0.22,0.66,0.35
57,1004880,17300,54,-9.65,-1.71,0.11,-19.75,43.19,124.0,40.06,-4.88,18.56,-56.75,-81.06,-88.62,-8.73,-4.54,-1.11,0.95,-3.02,-1.15,-0.62,0.24,0.67,0.34
58,1021912,17028,54,-9.71,-1.31,-0.03,-17.37,41.69,124.75,36.88,-6.69,20.5,-54.06,-83.5,-173.56,-8.67,-3.53,-1.01,1.07,-2.43,-0.9,-0.63,0.25,0.67,0.32
59,1042188,20272,54,-9.76,-0.86,-0.16,-9.88,36.5,140.13,36.88,-6.69,20.5,-51.19,-86.12,-176.31,-10.6,-3.62,0.02,-0.81,-3.0,0.24,-0.63,0.27,0.66,0.3
60,1059204,17012,52,-9.79,-0.37,-0.26,-7.5,28.69,146.75,36.88,-6.69,20.5,-49.69,-87.25,-177.75,-10.51,-3.32,0.51,-0.72,-2.95,0.78,-0.64,0.28,0.66,0.28
61,1068300,9092,52,-9.79,-0.37,-0.26,-7.5,28.69,146.75,36.88,-6.69,20.5,-49.69,-87.25,-177.75,-10.51,-3.32,0.51,-0.72,-2.95,0.78,-0.64,0.28,0.66,0.28
62,1087980,19676,49,-9.79,0.33,-0.35,-16.37,15.06,143.31,33.56,-10.38,21.37,-45.19,-87.06,178.0,-8.98,-3.06,0.87,0.81,-3.4,1.23,-0.64,0.3,0.65,0.27
63,1104880,16896,45,-9.76,0.8,-0.4,-21.25,12.81,137.88,33.56,-10.38,21.37,-42.06,-84.75,175.25,-9.18,-3.22,1.24,0.58,-4.02,1.64,-0.65,0.31,0.65,0.25
