,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,34584,16684,8,-9.73,0.98,0.61,39.94,0.81,-96.31,38.38,-10.56,1.0,-292.75,-83.19,5.75,-8.68,3.88,-1.05,1.06,3.04,-1.66,0.61,0.32,-0.6,0.4
1,54144,19556,7,-9.76,0.69,0.6,30.81,0.12,-91.62,38.38,-10.56,1.0,-295.19,-84.62,4.0,-8.98,3.85,-0.98,0.58,2.89,-1.15,0.62,0.33,-0.6,0.38
2,62940,8792,7,-9.76,0.69,0.6,30.81,0.12,-91.62,38.38,-10.56,1.0,-295.19,-84.62,4.0,-8.98,3.85,-0.98,0.58,2.89,-1.15,0.62,0.33,-0.6,0.38
3,79392,16444,6,-9.78,0.24,0.58,10.0,2.56,-89.25,39.75,-6.75,0.88,-298.25,-86.25,1.37,-9.28,2.48,-0.09,0.5,2.24,-0.67,0.62,0.34,-0.6,0.37
4,99260,19864,6,-9.78,0.1,0.58,7.81,1.69,-86.5,39.75,-6.75,0.88,-300.0,-86.56,-0.19,-9.28,2.66,-0.18,0.5,2.7,-0.77,0.63,0.34,-0.59,0.36
5,117524,18260,6,-9.78,-0.16,0.58,7.31,-0.69,-80.31,39.75,-6.75,0.88,-301.69,-86.12,-1.69,-9.14,2.65,-0.24,0.64,2.95,-0.82,0.64,0.35,-0.59,0.35
6,134372,16844,6,-9.77,-0.42,0.58,2.0,0.06,-78.12,38.38,-4.88,2.0,-302.44,-85.75,-2.44,-8.99,2.55,-0.54,0.84,2.98,-1.23,0.64,0.36,-0.58,0.35
7,143160,8784,6,-9.77,-0.42,0.58,2.0,0.06,-78.12,38.38,-4.88,2.0,-302.44,-85.75,-2.44,-8.99,2.55,-0.54,0.84,2.98,-1.23,0.64,0.36,-0.58,0.35
8,162880,19716,6,-9.75,-0.8,0.57,-9.56,1.31,-73.94,38.38,-4.88,2.0,-304.5,-84.19,-4.63,-9.14,1.94,-0.57,0.61,2.74,-1.15,0.65,0.37,-0.58,0.34
9,179400,16516,6,-9.73,-1.04,0.57,-12.38,-1.88,-75.19,38.69,-2.25,3.19,-305.69,-82.94,-61.13,-9.41,1.9,-0.48,0.32,2.94,-1.05,0.65,0.38,-0.57,0.33
10,199356,19952,6,-9.71,-1.17,0.58,-15.0,-6.56,-76.87,38.69,-2.25,3.19,-306.94,-81.56,-65.56,-9.75,2.44,-0.08,-0.05,3.74,-0.67,0.65,0.39,-0.57,0.33
11,217556,18196,7,-9.68,-1.43,0.6,-15.81,-8.75,-77.56,38.69,-2.25,3.19,-308.13,-80.12,-68.56,-9.93,3.89,-0.15,-0.27,5.45,-0.77,0.66,0.39,-0.56,0.32
12,234424,16864,9,-9.64,-1.67,0.62,-11.75,-9.44,-68.25,38.0,-0.69,4.38,-308.63,-79.5,-69.5,-11.54,3.36,-0.01,-1.91,5.1,-0.65,0.66,0.4,-0.55,0.31
13,254136,19708,11,-9.61,-1.79,0.65,-5.25,-10.63,-31.37,38.0,-0.69,4.38,-309.25,-78.75,-69.94,-11.53,3.91,-0.31,-1.84,6.49,-0.98,0.66,0.4,-0.55,0.31
14,263148,9008,11,-9.61,-1.79,0.65,-5.25,-10.63,-31.37,38.0,-0.69,4.38,-309.25,-78.75,-69.94,-11.53,3.91,-0.31,-1.84,6.49,-0.98,0.66,0.4,-0.55,0.31
15,279828,16676,15,-9.59,-1.89,0.74,-2.69,-24.87,-13.0,38.25,0.06,5.06,-309.69,-78.0,-68.44,-11.33,4.8,-2.04,-1.73,6.7,-2.79,0.66,0.4,-0.55,0.31
16,299996,20164,18,-9.58,-1.9,0.79,-28.5,-29.5,-3.75,38.25,0.06,5.06,-309.31,-77.69,-66.56,-14.07,4.72,-2.43,-4.48,6.64,-3.26,0.67,0.4,-0.54,0.31
17,317844,17844,22,-9.57,-1.91,0.86,-60.25,-35.5,15.81,38.25,0.06,5.06,-308.06,-77.56,-64.56,-14.63,5.02,1.04,-5.05,6.92,0.14,0.66,0.41,-0.54,0.32
18,334728,16880,26,-9.58,-1.87,0.94,-65.44,-36.63,25.06,37.38,-1.25,7.38,-307.19,-77.62,-63.25,-10.01,6.13,-0.06,-0.42,7.96,-1.03,0.66,0.41,-0.53,0.34
19,354612,19880,29,-9.59,-1.77,0.99,-74.19,-28.56,42.0,37.38,-1.25,7.38,-305.13,-78.0,-60.69,-7.67,6.43,-3.19,1.92,8.13,-4.21,0.66,0.41,-0.53,0.35
20,371592,16976,34,-9.62,-1.58,1.01,-97.06,-19.37,74.0,37.38,-1.25,7.38,-302.25,-78.87,-57.25,-7.54,5.72,-6.95,2.07,7.31,-7.97,0.65,0.41,-0.53,0.36
21,391068,19472,37,-9.66,-1.33,0.96,-141.5,2.56,97.06,37.56,-3.88,7.06,-298.19,-80.31,-54.19,-9.66,3.88,-7.53,0.0,5.22,-8.5,0.64,0.42,-0.52,0.38
22,411264,20192,41,-9.71,-1.03,0.86,-161.13,11.19,105.37,37.56,-3.88,7.06,-293.44,-82.06,-50.0,-14.03,-2.38,-8.15,-4.31,-1.34,-9.02,0.62,0.43,-0.52,0.4
23,428088,16820,42,-9.73,-0.9,0.81,-167.75,23.69,78.12,36.25,-9.69,6.38,-288.81,-83.56,-4.63,-13.14,-3.45,-6.04,-3.4,-2.65,-6.79,0.6,0.44,-0.52,0.43
24,448304,20212,43,-9.75,-0.7,0.69,-166.81,21.0,67.31,36.25,-9.69,6.38,-284.63,-84.75,-3.56,-10.48,-2.05,-4.87,-0.71,-1.43,-5.52,0.58,0.45,-0.51,0.45
25,466904,18596,43,-9.77,-0.51,0.61,-163.13,11.56,73.31,36.25,-9.69,6.38,-280.13,-85.87,-2.31,-10.44,-1.88,-3.23,-0.66,-1.48,-3.81,0.56,0.46,-0.51,0.47
26,483780,16872,43,-9.78,-0.27,0.55,-165.19,11.38,82.44,33.88,-16.0,3.75,-277.81,-86.37,-1.63,-9.82,-1.66,-2.03,-0.03,-1.51,-2.56,0.54,0.47,-0.5,0.49
27,492828,9044,43,-9.78,-0.27,0.55,-165.19,11.38,82.44,33.88,-16.0,3.75,-277.81,-86.37,-1.63,-9.82,-1.66,-2.03,-0.03,-1.51,-2.56,0.54,0.47,-0.5,0.49
28,512800,19968,42,-9.79,0.11,0.51,-138.31,3.5,88.81,33.88,-16.0,3.75,-271.25,-86.87,0.63,-10.19,-1.15,-2.14,-0.4,-1.26,-2.66,0.51,0.48,-0.5,0.52
29,529484,16680,41,-9.78,0.39,0.53,-119.62,-4.31,93.06,33.38,-18.5,-1.56,-267.19,-86.06,2.25,-9.9,0.0,-1.75,-0.11,-0.39,-2.29,0.5,0.48,-0.49,0.53
30,549516,20028,40,-9.77,0.54,0.55,-111.31,-7.19,106.06,33.38,-18.5,-1.56,-263.13,-84.62,4.13,-9.16,1.67,-1.63,0.6,0.96,-2.21,0.48,0.48,-0.49,0.54
31,567388,17868,38,-9.74,0.87,0.59,-122.19,1.25,108.62,33.38,-18.5,-1.56,-258.88,-82.87,59.38,-8.8,2.12,-1.35,0.92,1.08,-1.96,0.46,0.48,-0.49,0.56
32,584292,16900,36,-9.71,1.2,0.63,-126.69,6.25,108.44,32.06,-20.37,-6.19,-256.69,-82.0,62.44,-9.23,1.33,-1.49,0.44,-0.03,-2.13,0.44,0.48,-0.49,0.58
33,604064,19768,35,-9.66,1.54,0.65,-126.06,9.94,111.37,32.06,-20.37,-6.19,-252.25,-80.12,66.87,-9.64,0.7,-1.63,0.0,-1.0,-2.31,0.42,0.48,-0.48,0.6
34,613064,8996,35,-9.66,1.54,0.65,-126.06,9.94,111.37,32.06,-20.37,-6.19,-252.25,-80.12,66.87,-9.64,0.7,-1.63,0.0,-1.0,-2.31,0.42,0.48,-0.48,0.6
35,629732,16664,32,-9.56,2.06,0.72,-116.19,9.31,114.87,31.37,-22.75,-11.19,-245.69,-77.12,70.69,-9.21,0.56,-2.01,0.34,-1.49,-2.73,0.4,0.48,-0.48,0.62
36,650076,20340,30,-9.52,2.22,0.74,-105.87,9.0,110.25,31.37,-22.75,-11.19,-241.56,-75.12,72.06,-8.88,0.29,-1.87,0.59,-2.1,-2.64,0.38,0.48,-0.48,0.63
37,667628,17548,27,-9.43,2.55,0.8,-100.0,11.31,104.5,31.37,-22.75,-11.19,-237.75,-73.19,72.94,-8.74,-0.02,-1.79,0.64,-2.73,-2.62,0.36,0.48,-0.48,0.64
38,684648,17016,24,-9.34,2.84,0.85,-99.81,14.0,99.12,29.75,-23.5,-13.56,-235.88,-72.31,73.31,-8.66,-0.44,-1.35,0.64,-3.42,-2.23,0.34,0.48,-0.48,0.66
39,704424,19772,22,-9.25,3.1,0.89,-95.87,17.44,88.56,29.75,-23.5,-13.56,-230.75,-70.0,74.06,-8.67,-0.42,-1.04,0.53,-3.64,-1.96,0.32,0.48,-0.47,0.67
