,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36408,16836,39,-9.71,0.33,1.3,-120.0,29.19,96.69,37.0,-10.69,-16.0,-244.31,-82.12,14.38,-11.42,-3.45,-3.38,-1.7,-3.78,-4.68,-0.4,-0.55,0.37,-0.64
1,53920,17508,39,-9.71,0.48,1.27,-97.87,20.25,101.81,37.06,-9.69,-17.25,-240.75,-81.69,27.12,-9.95,-0.39,-3.15,-0.24,-1.04,-4.41,-0.38,-0.55,0.37,-0.65
2,74364,20440,39,-9.69,0.82,1.25,-66.37,8.69,118.81,37.06,-9.69,-17.25,-237.31,-80.5,38.88,-9.1,1.74,-2.46,0.56,0.73,-3.71,-0.36,-0.54,0.38,-0.66
3,91240,16872,38,-9.65,1.19,1.25,-72.62,9.81,121.06,37.06,-9.69,-17.25,-235.5,-79.81,43.63,-8.69,2.86,-1.81,1.13,1.91,-2.92,-0.34,-0.54,0.38,-0.67
4,111060,19816,37,-9.6,1.53,1.23,-97.81,21.06,115.31,36.69,-9.38,-17.75,-231.63,-78.37,51.19,-8.53,3.34,-1.77,0.44,2.47,-3.47,-0.31,-0.54,0.38,-0.68
5,131148,20084,36,-9.55,1.86,1.19,-130.25,38.5,116.69,36.69,-9.38,-17.75,-227.25,-76.94,57.25,-9.45,3.97,-2.19,-0.06,1.4,-3.39,-0.29,-0.55,0.37,-0.69
6,148192,17040,35,-9.49,2.17,1.13,-160.75,53.63,115.44,36.5,-11.0,-19.25,-222.25,-75.5,62.38,-9.93,2.97,-2.33,-0.43,0.79,-3.47,-0.27,-0.55,0.37,-0.7
7,168376,20180,34,-9.46,2.32,1.1,-173.25,60.88,112.94,36.5,-11.0,-19.25,-216.94,-74.0,66.37,-10.38,1.98,-2.62,-0.95,-0.49,-3.7,-0.24,-0.56,0.36,-0.71
8,185640,17260,32,-9.35,2.76,1.04,-172.0,60.06,109.94,36.5,-11.0,-19.25,-211.63,-72.44,69.31,-9.71,1.44,-2.22,-0.36,-1.32,-3.26,-0.2,-0.57,0.36,-0.72
9,203112,17468,31,-9.3,2.9,1.03,-168.63,58.56,109.19,37.38,-11.75,-20.25,-206.44,-70.81,71.44,-9.47,1.01,-1.82,-0.2,-2.03,-2.84,-0.17,-0.57,0.35,-0.72
10,223464,20348,30,-9.21,3.18,1.01,-162.0,57.5,107.12,37.38,-11.75,-20.25,-201.38,-69.25,73.0,-9.42,0.1,-1.57,-0.25,-3.21,-2.58,-0.14,-0.58,0.34,-0.73
11,240572,17104,28,-9.12,3.45,1.01,-153.0,59.13,102.37,37.38,-11.75,-20.25,-198.94,-68.44,73.69,-9.52,-0.16,-1.44,-0.51,-4.07,-2.3,-0.11,-0.58,0.33,-0.73
12,260252,19676,26,-9.02,3.7,0.99,-138.44,59.94,94.62,38.5,-12.06,-19.69,-194.38,-66.94,74.87,-9.55,-1.12,-1.0,-0.5,-5.16,-1.93,-0.08,-0.59,0.33,-0.74
13,280360,20104,23,-8.93,3.92,0.98,-114.44,56.94,83.44,38.5,-12.06,-19.69,-190.38,-65.62,75.94,-9.41,-1.35,-0.9,-0.41,-4.8,-1.8,-0.06,-0.59,0.32,-0.74
14,297180,16816,20,-8.84,4.12,0.94,-88.81,53.38,74.0,40.0,-13.5,-22.25,-187.0,-64.44,77.0,-9.27,-0.34,-0.71,-0.42,-4.46,-1.66,-0.05,-0.59,0.32,-0.74
15,317176,19992,18,-8.8,4.21,0.92,-68.25,52.5,66.19,40.0,-13.5,-22.25,-184.13,-63.38,78.19,-9.28,0.46,-0.61,-0.51,-3.83,-1.51,-0.03,-0.59,0.32,-0.74
16,334860,17680,15,-8.72,4.38,0.86,-51.06,53.69,55.69,40.0,-13.5,-22.25,-181.69,-62.44,79.56,-9.02,2.12,-1.29,-0.33,-2.33,-2.11,-0.01,-0.6,0.32,-0.74
17,351816,16952,13,-8.66,4.52,0.77,-42.88,53.5,50.75,40.19,-15.0,-20.19,-180.63,-62.06,80.25,-8.36,2.86,-1.36,0.27,-1.72,-2.08,0.0,-0.6,0.32,-0.73
18,371676,19856,11,-8.6,4.65,0.65,-17.12,54.13,43.25,40.19,-15.0,-20.19,-178.88,-61.31,82.0,-8.81,2.5,-1.27,-0.23,-2.2,-1.85,0.01,-0.61,0.32,-0.73
19,388692,17012,9,-8.56,4.74,0.48,24.87,48.44,25.62,40.19,-15.0,-20.19,-178.13,-60.88,84.12,-8.77,3.54,-1.38,-0.21,-1.2,-1.87,0.01,-0.61,0.32,-0.72
20,397704,9008,9,-8.56,4.74,0.48,24.87,48.44,25.62,40.19,-15.0,-20.19,-178.13,-60.88,84.12,-8.77,3.54,-1.38,-0.21,-1.2,-1.87,0.01,-0.61,0.32,-0.72
21,417916,20208,9,-8.55,4.78,0.28,48.56,47.44,6.25,40.38,-15.25,-20.0,-178.25,-60.63,87.94,-7.72,8.62,-0.08,0.82,3.82,-0.25,0.01,-0.62,0.33,-0.71
22,435152,17232,9,-8.54,4.8,0.06,23.44,52.56,-2.63,40.38,-15.25,-20.0,-178.31,-60.69,90.25,-7.93,8.48,0.13,0.61,3.68,0.16,0.01,-0.62,0.34,-0.71
23,451848,16692,9,-8.56,4.77,-0.11,6.13,55.19,-16.75,42.06,-17.37,-16.25,-178.25,-60.81,91.31,-7.96,8.1,-0.68,0.62,3.37,-0.5,0.01,-0.63,0.33,-0.7
24,471524,19672,9,-8.62,4.65,-0.23,-33.75,56.75,-50.25,42.06,-17.37,-16.25,-178.13,-61.56,92.94,-15.2,10.44,-0.97,-6.53,5.88,-0.69,0.01,-0.64,0.32,-0.7
25,488620,17092,9,-8.7,4.5,-0.27,-82.06,44.31,-46.44,42.06,-17.37,-16.25,-177.44,-62.56,93.5,-27.76,14.38,5.9,-19.05,9.88,6.18,0.02,-0.64,0.32,-0.7
26,497728,9104,9,-8.7,4.5,-0.27,-82.06,44.31,-46.44,42.06,-17.37,-16.25,-177.44,-62.56,93.5,-27.76,14.38,5.9,-19.05,9.88,6.18,0.02,-0.64,0.32,-0.7
27,517816,20084,12,-8.75,4.41,0.12,-299.88,38.19,-56.5,44.25,-16.87,-14.06,-172.63,-63.19,88.31,-1.0,16.44,1.03,7.75,12.03,0.9,0.05,-0.65,0.28,-0.71
28,535032,17212,16,-8.85,4.19,0.39,-331.06,78.5,-58.13,44.25,-16.87,-14.06,-167.75,-64.5,84.62,-9.96,-5.27,-5.74,-1.1,-9.46,-6.13,0.08,-0.65,0.23,-0.72
29,552068,17032,17,-8.89,4.09,0.48,-304.0,78.5,-52.5,45.75,-14.56,-17.0,-163.44,-65.75,82.25,-14.22,-19.28,-8.29,-5.27,-23.27,-8.83,0.1,-0.66,0.19,-0.72
30,572480,20408,17,-8.99,3.85,0.55,-206.69,81.69,-69.81,45.75,-14.56,-17.0,-161.63,-67.25,82.0,-13.04,-20.81,-6.36,-3.99,-24.56,-6.89,0.12,-0.67,0.16,-0.72
31,589512,17028,17,-9.08,3.66,0.44,31.44,35.06,-54.13,45.75,-14.56,-17.0,-162.31,-67.81,83.0,-14.67,-14.1,-5.08,-5.06,-12.36,-3.43,0.1,-0.67,0.16,-0.71
32,609492,19976,17,-9.14,3.52,0.29,157.06,-16.69,-49.19,48.88,-7.19,-16.0,-165.69,-68.81,85.12,-11.32,-0.8,0.37,-2.18,-0.36,1.36,0.08,-0.68,0.18,-0.71
33,618584,9088,17,-9.14,3.52,0.29,157.06,-16.69,-49.19,48.88,-7.19,-16.0,-165.69,-68.81,85.12,-11.32,-0.8,0.37,-2.18,-0.36,1.36,0.08,-0.68,0.18,-0.71
34,635340,16752,17,-9.24,3.27,0.16,141.94,-31.5,-65.37,48.88,-7.19,-16.0,-172.0,-70.44,87.06,-8.27,10.67,2.28,0.96,7.4,2.11,0.05,-0.68,0.19,-0.71
35,653024,17680,17,-9.28,3.15,0.14,101.69,-22.69,-80.31,49.69,-5.38,-15.56,-175.19,-72.12,87.44,-5.79,9.71,0.65,3.54,6.71,0.52,0.03,-0.68,0.19,-0.71
36,673452,20424,16,-9.38,2.84,0.12,-0.06,7.88,-99.75,49.69,-5.38,-15.56,-176.75,-74.12,87.75,-8.48,2.05,-2.95,0.94,-0.62,-3.05,0.02,-0.68,0.17,-0.71
37,690292,16836,14,-9.48,2.49,0.07,-48.13,30.75,-112.31,49.69,-5.38,-15.56,-177.31,-75.19,88.25,-10.53,-0.08,-3.79,-1.0,-2.39,-3.83,0.01,-0.69,0.15,-0.71
38,710288,19992,13,-9.57,2.13,0.0,-26.19,26.62,-112.75,49.69,-4.38,-16.5,-178.75,-77.37,89.75,-10.54,-0.18,-1.96,-0.51,-1.19,-0.39,0.0,-0.69,0.14,-0.71
39,730384,20092,12,-9.64,1.76,-0.03,1.44,10.44,-115.44,49.69,-4.38,-16.5,-180.81,-79.62,91.12,-9.66,1.9,0.89,0.57,1.3,1.33,-0.01,-0.7,0.13,-0.71
40,747320,16932,10,-9.7,1.38,-0.05,13.38,4.75,-113.75,50.38,0.69,-15.75,-183.25,-81.81,92.37,-8.94,3.34,0.27,0.76,1.95,0.33,-0.02,-0.7,0.12,-0.7
41,767300,19976,9,-9.73,1.2,-0.07,18.5,6.0,-112.12,50.38,0.69,-15.75,-185.75,-84.0,174.0,-9.23,2.47,-1.19,0.51,1.46,-1.11,-0.04,-0.7,0.11,-0.7
42,784452,17148,8,-9.77,0.83,-0.09,22.12,5.13,-113.62,50.38,0.69,-15.75,-188.31,-86.12,176.19,-9.16,1.86,-1.06,0.61,1.21,-0.95,-0.05,-0.7,0.1,-0.7
43,801220,16764,7,-9.79,0.45,-0.11,22.94,5.13,-113.56,50.75,5.0,-15.88,-189.63,-87.19,177.31,-9.29,1.81,-0.79,0.5,1.54,-0.66,-0.07,-0.71,0.09,-0.7
