,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,35112,18308,3,-9.65,1.33,-1.09,4.56,-3.06,-6.88,47.38,7.5,-13.19,-214.19,-79.87,129.38,-9.37,3.09,-0.72,0.28,1.77,0.36,0.2,0.68,-0.31,0.64
1,55004,19888,3,-9.65,1.31,-1.08,2.69,-2.56,-8.0,47.38,7.5,-13.19,-214.44,-80.06,129.75,-9.0,3.94,-0.67,0.65,2.64,0.4,0.2,0.68,-0.31,0.64
2,71708,16700,4,-9.66,1.29,-1.07,1.88,-2.31,-5.19,47.38,7.5,-13.19,-215.19,-80.12,129.81,-8.72,5.45,-0.14,0.93,4.16,0.93,0.2,0.67,-0.32,0.64
3,90488,18776,5,-9.66,1.29,-1.07,-4.56,-0.5,3.13,47.75,7.5,-13.19,-214.94,-80.06,129.31,-8.67,6.63,0.2,0.98,5.32,1.27,0.2,0.67,-0.32,0.64
4,110256,19764,7,-9.65,1.33,-1.07,-7.5,0.0,14.75,47.75,7.5,-13.19,-214.69,-79.94,128.75,-8.8,7.01,0.28,0.85,5.64,1.35,0.2,0.67,-0.32,0.64
5,126988,16728,9,-9.64,1.42,-1.06,-16.44,0.19,29.94,47.38,7.19,-12.75,-214.5,-79.5,126.75,-9.31,6.87,0.21,0.33,5.45,1.28,0.2,0.67,-0.32,0.64
6,146560,19568,11,-9.62,1.55,-1.05,-25.94,2.25,38.5,47.38,7.19,-12.75,-213.31,-78.94,124.25,-9.68,5.91,-0.06,-0.05,4.36,0.99,0.19,0.67,-0.32,0.64
7,163668,17104,13,-9.6,1.69,-1.05,-30.81,5.06,42.19,47.38,7.19,-12.75,-211.88,-78.19,121.87,-9.86,5.63,-0.48,-0.26,3.94,0.57,0.18,0.67,-0.33,0.64
8,180564,16892,15,-9.58,1.77,-1.05,-33.0,4.31,44.06,47.38,7.88,-12.38,-211.44,-77.81,120.69,-10.19,5.46,-0.92,-0.62,3.6,0.12,0.18,0.67,-0.33,0.64
9,200836,20268,17,-9.55,1.94,-1.04,-35.38,2.69,49.19,47.38,7.88,-12.38,-208.94,-76.5,116.94,-10.85,9.58,-0.57,-1.32,7.54,0.46,0.17,0.67,-0.33,0.65
10,217772,16932,19,-9.51,2.13,-1.02,-12.75,-3.75,62.31,47.38,7.88,-12.38,-208.25,-75.94,115.62,-11.33,5.98,-1.7,-1.81,3.84,-0.68,0.16,0.66,-0.34,0.65
11,236944,19168,21,-9.47,2.32,-0.99,-43.75,0.69,52.5,48.06,6.75,-11.56,-206.56,-75.0,113.12,-10.88,3.69,-1.89,-1.41,1.36,-0.89,0.15,0.66,-0.34,0.65
12,256720,19772,22,-9.43,2.49,-0.96,-47.0,2.5,48.19,48.06,6.75,-11.56,-204.63,-74.12,111.06,-10.47,2.43,-2.25,-1.03,-0.06,-1.29,0.14,0.66,-0.34,0.66
13,273452,16728,23,-9.41,2.58,-0.95,-9.81,-1.19,58.31,49.56,5.25,-9.69,-203.13,-73.12,109.44,-10.29,3.24,-2.62,-0.91,0.56,-1.67,0.13,0.66,-0.34,0.66
14,293600,20144,24,-9.36,2.76,-0.93,-43.38,4.25,48.56,49.56,5.25,-9.69,-201.44,-72.12,107.94,-10.46,-0.79,-2.39,-1.13,-3.64,-1.46,0.13,0.65,-0.34,0.66
15,312192,18584,25,-9.3,2.95,-0.91,-11.81,-1.81,59.88,49.56,5.25,-9.69,-199.75,-71.06,106.56,-9.79,3.41,-2.73,-0.51,0.36,-1.82,0.12,0.65,-0.35,0.66
16,328964,16768,25,-9.24,3.15,-0.89,-40.81,4.0,66.81,50.69,3.88,-9.25,-198.69,-70.44,105.75,-9.46,3.31,-2.12,-0.25,0.03,-1.25,0.1,0.65,-0.35,0.67
17,348732,19764,25,-9.16,3.39,-0.83,-58.69,-1.0,67.44,50.69,3.88,-9.25,-196.25,-69.12,103.75,-8.74,0.94,-2.13,0.85,1.21,-0.44,0.09,0.65,-0.35,0.67
18,365396,16660,25,-9.08,3.61,-0.75,-57.88,-3.81,68.19,50.69,3.88,-9.25,-193.88,-67.87,101.81,-8.25,3.25,-2.06,0.82,-0.35,-1.31,0.08,0.64,-0.35,0.67
19,382552,17152,25,-9.04,3.73,-0.7,-72.56,-2.31,74.12,51.0,1.06,-9.38,-191.13,-66.5,99.69,-9.55,1.67,-1.79,-0.56,-2.17,-1.13,0.07,0.64,-0.35,0.68
20,402592,20036,24,-8.94,3.96,-0.6,-72.12,-3.56,72.56,51.0,1.06,-9.38,-188.44,-65.12,97.62,-9.27,2.32,-1.47,-0.37,-1.76,-0.92,0.05,0.64,-0.35,0.69
21,419468,16872,23,-8.85,4.18,-0.48,-70.5,-8.63,67.37,51.0,1.06,-9.38,-187.13,-64.5,96.62,-9.25,2.3,-0.6,-0.44,-1.98,-0.18,0.04,0.63,-0.35,0.69
22,438580,19108,21,-8.76,4.38,-0.34,-63.31,-16.94,62.63,50.56,-1.75,-10.19,-184.94,-63.31,94.5,-8.87,2.52,-0.27,0.14,-1.82,0.34,0.02,0.63,-0.35,0.7
23,458504,19920,20,-8.67,4.57,-0.18,-61.94,-23.31,59.75,50.56,-1.75,-10.19,-182.88,-62.13,92.31,-8.51,2.76,0.34,0.22,-1.89,0.62,0.01,0.62,-0.35,0.7
24,475200,16692,17,-8.59,4.73,-0.01,-64.87,-24.37,51.0,51.0,-4.0,-10.19,-181.0,-61.13,90.19,-8.22,2.93,0.7,0.36,-1.79,0.72,0.01,0.62,-0.35,0.71
25,495188,19984,16,-8.55,4.79,0.07,-65.94,-23.25,40.88,51.0,-4.0,-10.19,-179.25,-60.31,88.12,-7.92,3.37,0.72,0.59,-1.47,0.56,0.0,0.61,-0.34,0.71
26,512672,17480,13,-8.48,4.9,0.24,-72.31,-21.69,31.31,51.0,-4.0,-10.19,-177.69,-59.63,86.06,-7.44,7.02,0.82,1.01,2.07,0.48,-0.01,0.61,-0.34,0.72
27,529492,16816,11,-8.44,4.96,0.44,-103.5,-16.25,21.5,50.19,-7.19,-11.69,-176.88,-59.38,84.81,-7.4,4.22,1.32,1.01,-0.78,0.78,-0.02,0.6,-0.33,0.73
28,549428,19932,10,-8.39,5.03,0.61,-54.5,-25.94,25.69,50.19,-7.19,-11.69,-175.56,-58.81,82.94,-7.37,4.94,0.94,0.99,-0.11,0.24,-0.03,0.6,-0.33,0.73
29,566360,16928,8,-8.34,5.08,0.77,-50.31,-23.19,21.44,50.19,-7.19,-11.69,-174.56,-58.31,81.31,-7.4,5.36,1.08,0.94,0.27,0.3,-0.04,0.59,-0.32,0.74
30,575284,8920,8,-8.34,5.08,0.77,-50.31,-23.19,21.44,50.19,-7.19,-11.69,-174.56,-58.31,81.31,-7.4,5.36,1.08,0.94,0.27,0.3,-0.04,0.59,-0.32,0.74
31,595480,20192,6,-8.31,5.1,0.94,-37.38,-20.12,19.06,50.56,-7.56,-13.56,-173.19,-57.75,78.94,-7.71,6.25,1.46,0.58,1.12,0.46,-0.04,0.59,-0.32,0.74
32,604424,8940,6,-8.31,5.1,0.94,-37.38,-20.12,19.06,50.56,-7.56,-13.56,-173.19,-57.75,78.94,-7.71,6.25,1.46,0.58,1.12,0.46,-0.04,0.59,-0.32,0.74
33,621220,16792,4,-8.29,5.11,1.13,-60.13,-7.44,-0.75,51.38,-8.88,-13.88,-172.38,-57.63,77.06,-6.81,7.32,1.91,1.46,2.2,0.73,-0.05,0.59,-0.31,0.75
34,641372,20148,4,-8.27,5.12,1.2,-16.62,-12.69,3.69,51.38,-8.88,-13.88,-172.13,-57.5,76.44,-6.31,7.21,2.2,1.96,2.09,0.97,-0.05,0.58,-0.31,0.75
35,660548,19172,4,-8.27,5.11,1.25,-21.25,-1.75,2.75,51.38,-8.88,-13.88,-171.75,-57.44,76.12,-6.79,6.01,1.42,1.47,0.89,0.15,-0.05,0.58,-0.31,0.75
36,677204,16652,4,-8.27,5.11,1.26,-18.12,11.0,-0.63,51.06,-9.25,-14.75,-171.56,-57.5,76.06,-7.11,5.2,1.09,0.71,-0.39,-0.58,-0.06,0.59,-0.3,0.75
37,696880,19672,4,-8.3,5.07,1.22,-6.0,20.12,-16.06,51.06,-9.25,-14.75,-171.5,-57.81,76.37,-7.89,4.79,0.7,0.4,-0.27,-0.52,-0.05,0.59,-0.3,0.75
38,713480,16596,4,-8.35,4.99,1.14,5.25,29.69,-31.87,51.06,-9.25,-14.75,-171.88,-58.44,77.06,-9.65,6.0,1.5,-1.29,1.0,0.35,-0.05,0.59,-0.3,0.75
39,731452,17968,4,-8.39,4.94,1.08,11.81,34.63,-37.25,51.75,-9.56,-14.69,-172.44,-59.31,78.25,-10.51,6.98,0.22,-2.07,2.09,-0.79,-0.05,0.6,-0.3,0.74
40,751568,20112,4,-8.47,4.84,0.94,12.63,45.94,-37.5,51.75,-9.56,-14.69,-172.94,-60.13,79.75,-11.48,7.77,0.67,-2.97,2.97,-0.19,-0.05,0.61,-0.29,0.74
41,768504,16932,4,-8.53,4.76,0.79,11.13,43.94,-24.19,51.75,-9.56,-14.69,-173.06,-60.44,80.5,-7.99,8.14,0.83,0.56,3.4,0.11,-0.04,0.61,-0.29,0.73
42,787944,19436,5,-8.57,4.72,0.64,8.5,51.38,-15.38,52.5,-8.38,-13.88,-173.13,-60.88,82.25,-6.88,7.78,-0.25,0.47,0.42,-1.9,-0.04,0.62,-0.29,0.73
43,807788,19840,5,-8.62,4.64,0.46,-11.75,63.5,-30.94,52.5,-8.38,-13.88,-172.94,-61.5,84.19,-8.83,3.25,-1.2,0.13,-2.95,-1.15,-0.04,0.63,-0.29,0.72
44,824476,16684,5,-8.71,4.48,0.34,-45.31,59.13,-59.0,53.56,-7.69,-10.25,-172.88,-62.63,85.56,-9.0,-2.77,-1.88,-0.28,-7.26,-2.23,-0.04,0.64,-0.28,0.72
