,time,dt,Angle,grav1,grav2,grav3,gyro1,gyro2,gyro3,magnet1,magnet2,magnet3,euler1,euler2,euler3,accl1,accl2,accl3,linaccl1,linaccl2,linaccl3,quat1,quat2,quat3,quat4
0,36704,20064,-1,-9.68,1.41,-0.6,7.94,21.56,-22.81,45.75,3.75,-17.19,-185.06,-81.06,114.94,-9.5,2.2,-1.72,0.17,0.83,-1.08,0.03,0.72,-0.13,0.68
1,54460,17752,-1,-9.69,1.33,-0.67,9.31,20.75,-21.81,45.75,3.75,-17.19,-185.63,-81.25,118.75,-9.42,1.52,-1.53,0.27,0.22,-0.81,0.03,0.72,-0.13,0.68
2,71320,16856,-2,-9.69,1.26,-0.74,10.06,20.12,-22.56,46.88,3.75,-17.19,-188.88,-81.37,120.62,-9.37,1.29,-1.46,0.3,-0.02,-0.59,0.05,0.72,-0.15,0.68
3,80280,8956,-2,-9.69,1.26,-0.74,10.06,20.12,-22.56,46.88,3.75,-17.19,-188.88,-81.37,120.62,-9.37,1.29,-1.46,0.3,-0.02,-0.59,0.05,0.72,-0.15,0.68
4,99960,19676,-2,-9.7,1.13,-0.85,15.63,19.0,-26.06,46.88,3.75,-17.19,-190.0,-81.69,126.94,-9.57,1.54,-1.66,0.18,0.68,-0.85,0.06,0.72,-0.15,0.67
5,116588,16624,-2,-9.7,1.05,-0.92,12.94,19.87,-21.94,46.25,6.0,-16.37,-193.38,-81.75,131.19,-9.73,1.62,-1.76,-0.02,0.56,-0.84,0.08,0.72,-0.16,0.67
6,135724,19132,-2,-9.7,1.03,-0.97,9.5,20.0,-21.12,46.25,6.0,-16.37,-193.75,-81.5,135.69,-9.47,1.42,-1.78,0.22,0.41,-0.74,0.08,0.72,-0.17,0.66
7,153868,18140,-2,-9.69,0.98,-1.08,8.38,18.94,-24.94,46.25,6.0,-16.37,-194.19,-81.25,139.94,-9.41,1.32,-1.85,0.28,0.36,-0.71,0.08,0.73,-0.16,0.66
8,170620,16748,-2,-9.69,0.92,-1.19,7.56,18.69,-28.87,47.69,6.0,-14.75,-196.81,-81.12,142.13,-9.38,1.58,-1.88,0.46,0.87,-0.71,0.1,0.73,-0.18,0.65
9,179564,8940,-2,-9.69,0.92,-1.19,7.56,18.69,-28.87,47.69,6.0,-14.75,-196.81,-81.12,142.13,-9.38,1.58,-1.88,0.46,0.87,-0.71,0.1,0.73,-0.18,0.65
